id,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData minimum AtomicWeight,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData mode AtomicWeight,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta
34072651,3,42,-0.153347,3,42,-0.153347,0.0,-1.99066757562781,50,73,23,63.4,10.72,50,10.811,95.96,85.149,48.10470772,38.284233824,10.811,154,70,119.4,28.32,1.61,2.16,0.55,2.002,0.1568,2.04,1,1,1.6,0.48,1,1,1,0.6,0.48,5,5,2.0,2.4,0,0,0.0,0.0,6,3,4.2,1.44,1,1,0.4,0.48,3.0,2.4,5,5,2.0,2.4,5,6,1,5.4,0.48,5,1.6,0.6,2.0,0.0,0.380952380952381,0.142857142857143,0.476190476190476,0.0,0.857647401287833,0.212789304679212
95063127,1,45,-0.154624,1,45,-0.154624,0.0,-2.03418843544091,59,73,14,67.0,6.4,59,10.811,102.9055,92.0945,50.88290772,41.618073824,10.811,142,58,114.6,24.48,1.61,2.28,0.67,2.05,0.184,2.04,1,1,1.6,0.48,1,1,1,0.6,0.48,8,8,3.2,3.84,0,0,0.0,0.0,9,6,5.4,2.88,1,1,0.4,0.48,3.0,2.4,2,2,0.8,0.96,3,5,2,4.2,0.96,3,1.6,0.6,3.2,0.0,0.296296296296296,0.111111111111111,0.592592592592593,0.0,0.675408211873564,0.200159611154652
62945318,3,44,-0.210375,3,44,-0.210375,0.0,-2.00533214037694,56,73,17,65.8,7.84,56,10.811,101.07,90.259,50.14870772,40.737033824,10.811,146,62,116.2,25.76,1.61,2.2,0.59,2.018,0.1632,2.04,1,1,1.6,0.48,1,1,1,0.6,0.48,7,7,2.8,3.36,0,0,0.0,0.0,8,5,5.0,2.4,1,1,0.4,0.48,3.0,2.4,3,3,1.2,1.44,4,5,1,4.6,0.48,4,1.6,0.6,2.8,0.0,0.32,0.12,0.56,0.0,0.861447518501113,0.203555222517664
60897513,3,74,-0.220603,3,74,-0.220603,0.0,-2.06244342089425,51,73,22,63.8,10.24,51,10.811,183.84,173.029,83.25670772,80.466633824,10.811,162,78,122.6,31.52,1.61,2.36,0.75,2.082,0.2224,2.04,2,0,2.0,0.0,2,1,1,0.6,0.48,4,4,1.6,1.92,14,14,5.6,6.72,20,17,9.8,8.16,0,0,0.0,0.0,3.0,2.4,6,6,2.4,2.88,5,6,1,5.4,0.48,5,2.0,0.6,1.6,5.6,0.204081632653061,0.0612244897959183,0.163265306122449,0.571428571428571,1.11512348926255,0.205321731788082
17042638,1,27,-0.204497,1,27,-0.204497,0.0,-1.88313034577772,58,73,15,66.6,6.88,58,10.811,58.933195,48.122195,33.29398572,20.511367424,10.811,126,42,108.2,19.36,1.61,2.04,0.43,1.89,0.12,1.88,2,0,2.0,0.0,2,1,1,0.6,0.48,7,7,2.8,3.36,0,0,0.0,0.0,9,6,5.4,2.88,0,0,0.0,0.0,3.0,2.4,3,3,1.2,1.44,3,5,2,4.2,0.96,3,2.0,0.6,2.8,0.0,0.37037037037037,0.111111111111111,0.518518518518518,0.0,0.749876200656029,0.190002022649909
87904612,2,5,-0.136603,2,5,-0.136603,0.0,-1.79168013027434,49,73,24,63.0,11.2,49,10.811,51.9961,41.1851,30.51914772,17.181561824,10.811,139,55,113.4,23.52,1.61,2.04,0.43,1.802,0.1904,1.66,1,1,1.6,0.48,1,1,1,0.6,0.48,5,5,2.0,2.4,0,0,0.0,0.0,6,3,4.2,1.44,1,1,0.4,0.48,3.0,2.4,5,5,2.0,2.4,5,6,1,5.4,0.48,5,1.6,0.6,2.0,0.0,0.380952380952381,0.142857142857143,0.476190476190476,0.0,0.760535662172526,0.196964612064823
78510264,1,13,-0.286883,1,13,-0.286883,0.0,-1.86293489685805,55,73,18,65.4,8.32,55,10.811,55.845,45.034,32.05870772,19.029033824,10.811,132,48,110.6,21.28,1.61,2.04,0.43,1.87,0.136,1.83,2,0,2.0,0.0,2,1,1,0.6,0.48,6,6,2.4,2.88,0,0,0.0,0.0,8,5,5.0,2.4,0,0,0.0,0.0,3.0,2.4,4,4,1.6,1.92,4,5,1,4.6,0.48,4,2.0,0.6,2.4,0.0,0.4,0.12,0.48,0.0,0.804970246528939,0.190002022649909
23045176,1,28,-0.210764,1,28,-0.210764,0.0,-1.89509326894747,61,73,12,67.8,5.44,61,10.811,58.6934,47.8824,33.19806772,20.396265824,10.811,124,40,107.4,18.72,1.61,2.04,0.43,1.902,0.1168,1.91,2,0,2.0,0.0,2,1,1,0.6,0.48,8,8,3.2,3.84,0,0,0.0,0.0,10,7,5.8,3.36,0,0,0.0,0.0,3.0,2.4,2,2,0.8,0.96,2,5,3,3.8,1.44,2,2.0,0.6,3.2,0.0,0.344827586206897,0.103448275862069,0.551724137931034,0.0,0.711473930430316,0.191265628968897
71453068,3,43,-0.270262,3,43,-0.270262,0.0,-1.89111823607792,53,73,20,64.6,9.28,53,10.811,98.0,87.189,48.92070772,39.263433824,10.811,147,63,116.6,26.08,1.61,2.04,0.43,1.898,0.1152,1.9,2,0,2.0,0.0,2,1,1,0.6,0.48,5,5,2.0,2.4,0,0,0.0,0.0,7,4,4.6,1.92,0,0,0.0,0.0,3.0,2.4,5,5,2.0,2.4,5,5,0,5.0,0.0,5,2.0,0.6,2.0,0.0,0.434782608695652,0.130434782608696,0.434782608695652,0.0,0.821419744826727,0.207130730050934
45628709,3,23,-0.204634,3,23,-0.204634,0.0,-1.77865731966268,46,73,27,61.8,12.64,46,10.811,50.9415,40.1305,30.09730772,16.675353824,10.811,153,69,119.0,28.0,1.61,2.04,0.43,1.79,0.2,1.63,2,0,2.0,0.0,2,1,1,0.6,0.48,3,3,1.2,1.44,0,0,0.0,0.0,5,2,3.8,0.96,0,0,0.0,0.0,3.0,2.4,7,7,2.8,3.36,5,7,2,5.8,0.96,5,2.0,0.6,1.2,0.0,0.526315789473684,0.157894736842105,0.315789473684211,0.0,0.547914574499593,0.203555222517664
