id,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NUnfilled,AtomicOrbitals|gap_AO,ElementProperty|MagpieData maximum CovalentRadius,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData mode NUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
34072651,50,73,0,2.002,0.212789304679212,0.476190476190476,38.284233824,63.4,0.55,119.4,10.72,5,1,5.4,2.0,0.1568,1.44,6,0.0,154,0.380952380952381,23,2.16,0.0,1.61,6,2.0,5,5,0.48,
95063127,59,73,0,2.05,0.200159611154652,0.592592592592593,41.618073824,67.0,0.67,114.6,6.4,8,2,4.2,3.2,0.184,2.88,5,0.0,142,0.296296296296296,14,2.28,0.0,1.61,9,0.8,3,2,0.96,
62945318,56,73,0,2.018,0.203555222517664,0.56,40.737033824,65.8,0.59,116.2,7.84,7,1,4.6,2.8,0.1632,2.4,5,0.0,146,0.32,17,2.2,0.0,1.61,8,1.2,4,3,0.48,
60897513,51,73,14,2.082,0.205321731788082,0.163265306122449,80.466633824,63.8,0.75,122.6,10.24,4,1,5.4,1.6,0.2224,8.16,6,0.0,162,0.204081632653061,22,2.36,0.571428571428571,1.61,20,2.4,5,6,0.48,
17042638,58,73,0,1.89,0.190002022649909,0.518518518518518,20.511367424,66.6,0.43,108.2,6.88,7,2,4.2,2.8,0.12,2.88,5,0.0,126,0.37037037037037,15,2.04,0.0,1.61,9,1.2,3,3,0.96,
87904612,49,73,0,1.802,0.196964612064823,0.476190476190476,17.181561824,63.0,0.43,113.4,11.2,5,1,5.4,2.0,0.1904,1.44,6,0.0,139,0.380952380952381,24,2.04,0.0,1.61,6,2.0,5,5,0.48,
78510264,55,73,0,1.87,0.190002022649909,0.48,19.029033824,65.4,0.43,110.6,8.32,6,1,4.6,2.4,0.136,2.4,5,0.0,132,0.4,18,2.04,0.0,1.61,8,1.6,4,4,0.48,
23045176,61,73,0,1.902,0.191265628968897,0.551724137931034,20.396265824,67.8,0.43,107.4,5.44,8,3,3.8,3.2,0.1168,3.36,5,0.0,124,0.344827586206897,12,2.04,0.0,1.61,10,0.8,2,2,1.44,
71453068,53,73,0,1.898,0.207130730050934,0.434782608695652,39.263433824,64.6,0.43,116.6,9.28,5,0,5.0,2.0,0.1152,1.92,5,0.0,147,0.434782608695652,20,2.04,0.0,1.61,7,2.0,5,5,0.0,
45628709,46,73,0,1.79,0.203555222517664,0.315789473684211,16.675353824,61.8,0.43,119.0,12.64,3,2,5.8,1.2,0.2,0.96,7,0.0,153,0.526315789473684,27,2.04,0.0,1.61,5,2.8,5,7,0.96,
