id,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,hull_distance
34072651,50,73,0,2.002,0.212789304679212,
95063127,59,73,0,2.05,0.200159611154652,
62945318,56,73,0,2.018,0.203555222517664,
60897513,51,73,14,2.082,0.205321731788082,
17042638,58,73,0,1.89,0.190002022649909,
87904612,49,73,0,1.802,0.196964612064823,
78510264,55,73,0,1.87,0.190002022649909,
23045176,61,73,0,1.902,0.191265628968897,
71453068,53,73,0,1.898,0.207130730050934,
45628709,46,73,0,1.79,0.203555222517664,
43972106,59,84,0,2.164,0.178187175712809,
54879302,56,84,0,2.132,0.184561293402918,
34681702,51,84,14,2.196,0.187750550694611,
61784935,50,84,0,2.116,0.200490193411229,
67409258,50,81,14,2.146,0.264762521262011,
68427591,50,83,0,2.118,0.209236908423423,
14387690,50,88,0,2.196,0.208181128439005,
89604375,51,81,14,2.226,0.263402454957875,
71305486,59,83,0,2.166,0.18391049142992,
18325407,56,83,0,2.134,0.191249486918778,
19483527,51,83,14,2.198,0.194888460581358,
67435291,59,81,14,2.194,0.262937277792971,
51763480,59,88,0,2.244,0.183016696114988,
30975426,56,81,14,2.162,0.263192564548187,
71403958,56,88,0,2.212,0.190303673560118,
35897402,51,88,14,2.276,0.193918507395057,
27156309,50,72,0,2.018,0.234756787323376,
39186520,59,72,0,2.066,0.2279288267092,
19436725,56,72,0,2.034,0.229617304492512,
10693257,51,72,14,2.098,0.230543921141055,
56124780,58,72,0,1.906,0.223945679042768,
25976038,55,72,0,1.886,0.223945679042768,
59387142,61,72,0,1.918,0.22431623524546,
87563140,53,72,0,1.914,0.231522992329165,
50987241,58,84,0,2.004,0.15612386257877,
34012568,58,81,14,2.034,0.263891812849298,
13085762,58,83,0,2.006,0.157618547511842,
12904576,58,88,0,2.084,0.156956739165573,
24035867,58,79,0,1.97,0.155709800070947,
40326571,58,78,0,1.948,0.154906931004829,
16504783,58,80,0,1.96,0.21943403815018,
58029641,49,84,0,1.916,0.171830132537853,
67198240,49,81,14,1.946,0.262909117334157,
82769514,49,83,0,1.918,0.17649185829694,
57043269,49,88,0,1.996,0.17565566424556,
50129364,49,72,0,1.818,0.226472471692405,
25986740,49,74,0,1.842,0.186658751975725,
34105672,49,79,0,1.882,0.171719548408983,
78691503,49,75,0,1.836,0.222451146254413,
37419068,49,78,0,1.86,0.172044228070584,
32714856,49,80,0,1.872,0.222451146254413,
83429561,55,84,0,1.984,0.15612386257877,
69538402,55,81,14,2.014,0.263891812849298,
71465098,55,83,0,1.986,0.157618547511842,
94715302,55,88,0,2.064,0.156956739165573,
32468591,55,79,0,1.95,0.155709800070947,
98016472,55,78,0,1.928,0.154906931004829,
10857693,55,80,0,1.94,0.21943403815018,
16958274,50,74,0,2.042,0.20609831249986,
93608745,59,74,0,2.09,0.190716824855805,
12064358,56,74,0,2.058,0.194942090256101,
95240316,51,74,14,2.122,0.197110518441763,
85397462,58,74,0,1.93,0.17740691724314,
34209168,55,74,0,1.91,0.17740691724314,
41253670,61,74,0,1.942,0.179141821333142,
54789260,53,74,0,1.938,0.199312714776632,
32508179,50,79,0,2.082,0.200781428195816,
92165478,59,79,0,2.13,0.178179966487409,
78351290,56,79,0,2.098,0.184648700679445,
85902746,51,79,14,2.162,0.187882263393752,
68293104,45,73,14,1.658,0.253730382469685,
23750186,45,84,14,1.772,0.259209876971558,
72803641,45,81,14,1.802,0.280519703259021,
91052873,45,83,14,1.774,0.272831172793036,
