,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta
AtomicOrbitals|HOMO_character,1.0,0.7756357581535049,0.3837814511586,0.759078919203559,0.7097571330761314,0.4028028531715356,0.01940950735353063,0.031236798011587463,0.7480288638199091,0.0,0.33450074222993803,0.1499012913435186,0.17577346578441036,0.8205949245104786,0.15442631591947006,0.14066810755738304,0.12070545732201661,0.12168506341032997,0.39261919364308484,0.40750285149091253,0.11599919689528172,0.15357719354533328,0.25357567525154934,0.11116512438607502,0.11998618075741788,0.02872224506003735,0.050630767870200766,0.38363060636168994,0.026608254993577544,0.2581283747823213,0.0067758176550087295,0.0,0.02504334138321707,0.0,0.0,0.0,0.0037192134688489222,0.06807146102057715,0.13343848731031352,0.23752403671903613,0.2653271056832342,0.08998483014835203,0.03197295514366535,0.10978761869743313,0.027703131871869457,0.04175163402451223,0.08051241479005583,0.13594245370129163,0.10175163222561988,0.03729888099088716,0.06937765555496797,0.11609265718212206,0.04805314027285959,0.017938627801606176,0.00032870946667750117,0.4258052293493553,0.3815752572745992,0.34121232919982336,0.2645484085751049,0.05286922136366715,0.26921991298903464,0.08024685895879687,0.1839718430577236,0.09865222669260433,0.29237048593620096,0.01655643082151043,0.09888982242560783,0.2326457998298586,0.20647093657687313,0.06359319442750425,0.09596715783891997,0.09558542532953186,0.1462175986747676,0.017434388589936425,0.11370682155013269
AtomicOrbitals|HOMO_element,0.7756357581535049,1.0,0.5197021813622805,0.3009364469799511,0.8132721479805155,0.477622615710566,0.08038382677775352,0.050264297094939424,0.8512289972901211,0.0,0.07031100058449495,0.04751764914453719,0.05569773671255167,0.8520973826579666,0.28365313599757086,0.23795539271970667,0.1819891093985106,0.224965045703774,0.4824041110947872,0.4621269021894719,0.11011181964685403,0.16216041327834302,0.27147739879221416,0.13029898475595128,0.1631637522004785,0.03452978090454098,0.0729330120744775,0.36067373033228617,0.14856350777504404,0.14263403731972787,0.11285966328705781,0.10107688795971674,0.13875905448127898,0.0,0.0,0.0,0.0,0.05050312395389982,0.10183077055439786,0.18807960679994606,0.1812178310627803,0.36418131288543737,0.23355223577333134,0.49139324887807717,0.5068235877888269,0.3391122386518607,0.31199590246043657,0.16274958723716854,0.15049629485181695,0.046476971972494334,0.07822610741336758,0.0894894950650115,0.06449306030838166,0.007838172637814483,0.007965480632706282,0.29400813016299004,0.20182421743073256,0.22205660905493071,0.21129349524654112,0.0008390510087807511,0.19656694960905205,0.10576437455094205,0.1023938597513075,0.05852714675066735,0.1480792982607451,0.12233508799563703,0.015165550786416836,0.17996443944093382,0.42629771765551316,0.1450671503031584,0.0882884711710652,0.1622251685459906,0.3340542857002189,0.025952312828200503,0.06637731077242151
AtomicOrbitals|HOMO_energy,0.3837814511586,0.5197021813622805,1.0,0.35940714051444694,1.1582808770468591,0.869240229560162,0.16815943750628734,0.15724718229328571,1.2448010379652426,0.0,0.15548205642839077,0.1471160441334395,0.2195655098676466,1.2606431179329232,0.3742479954342297,0.37662270476859305,0.16001943105666955,0.2232656259347014,0.8202468025983908,0.8172699249326439,0.2463452351775888,0.3263843094666381,0.5090126805439059,0.2731567409743539,0.26382676358432955,0.1224721946242363,0.19890902251690054,0.7803518695625846,0.21944000629601154,0.2254580604405468,0.190590450732287,0.21340591916089455,0.2208759478624083,0.052787364747363986,0.03807402081362325,0.014440922039434137,0.05366555626598474,0.2059474878234212,0.23000353983104682,0.5172428356684038,0.5240688131523562,0.16715074240586916,0.13478287271568926,0.19166034190687398,0.24105970870580118,0.31471898514308183,0.31666265741943145,0.18768558280337766,0.15450284136671635,0.21975605081666208,0.22857486826144408,0.2201578405267665,0.2250074877235036,0.012260024379251694,0.03393756278247417,0.7271522932189102,0.7147867160416631,0.6499253023545982,0.6629504474731823,0.13462562486047433,0.5963023635539401,0.28003397001508046,0.34094351440517984,0.30905529185740743,0.3993834391786116,0.16952728755284047,0.02890256288839317,0.511545686634728,0.21509159178130072,0.17488561299092753,0.018390231535517096,0.23121232095742483,0.24015925120329645,0.08665896730639482,0.13002788668652107
AtomicOrbitals|LUMO_character,0.759078919203559,0.3009364469799511,0.35940714051444694,1.0,0.8386587199471984,0.478645660605237,0.07794210656972357,0.04895272750337809,0.7766975911700115,0.016919958264368543,0.28506206607639123,0.1657901439084143,0.17182036831643432,0.7923704175340849,0.14722725313731438,0.131078152625355,0.11911451293940768,0.12454830966375112,0.44563855910959227,0.4633807410422403,0.13166271798829973,0.17253985526046445,0.2889240620476479,0.07173252993606286,0.11424251239421025,0.03627706942928913,0.08274003965552804,0.3526275712167158,0.06525374135415835,0.024878870020219383,0.0,0.011692709425851171,0.02439849092485774,0.09031319451957862,0.016219242048435504,0.04168120373258226,0.01761856310105877,0.18994271451068712,0.1094250161919006,0.25130888699582166,0.31041299817809276,0.19044839231531105,0.0,0.13892151228723223,0.08370921060412184,0.12003200540103716,0.1270451921909975,0.14072207914910592,0.08198241841445518,0.17543216224882358,0.0,0.03366557374729164,0.20227035897018467,0.040831130142214976,0.0,0.43533486057322474,0.45204848818814714,0.3889351592427213,0.3469815560975314,0.10976507871978262,0.3789142165166586,0.13652387860859447,0.18677260792021919,0.129831068471095,0.34578765880393514,0.03835102287382842,0.0036889026244961024,0.23304236671689696,0.13435825090130704,0.09182965845028132,0.13150774931373269,0.12172667732159854,0.09932478782080223,0.04271253800497608,0.13550039687923895
AtomicOrbitals|LUMO_element,0.7097571330761314,0.8132721479805155,1.1582808770468591,0.8386587199471984,1.0,0.5027947341123974,0.05027711507765068,0.037758444137018725,0.8257242598822906,0.0,0.14775466243912938,0.06106606793599969,0.08367818246846276,0.857597635705639,0.2393384122955128,0.2437033893272986,0.1989135334172492,0.23683974742211622,0.46585065703392015,0.45400287092062014,0.11354053730122242,0.1637134035188207,0.3067137693962027,0.0916715279095303,0.17056930705678425,0.02255133530715714,0.05606971859550733,0.3692796548572465,0.13485546732430492,0.0,0.11045594338551959,0.10173014950091913,0.12465155699316673,0.021949230354300797,0.06058469622215432,0.056809999754702585,0.023740337433403157,0.14868454310803086,0.1515393670889742,0.252060528552519,0.2305658066180288,0.30294422718393155,0.28529412835764995,0.45009042182506526,0.4642774251224454,0.27302392518872526,0.3145202191688667,0.2032063510174392,0.12824561303190307,0.06515256699869139,0.08879602718018048,0.04878844771613358,0.032808974298941224,0.018407042376377445,0.020433262855278182,0.31087512178790905,0.32271779154560937,0.20410046519265818,0.2536264791646677,0.0,0.20938429514374096,0.0,0.055583760128426966,0.06298230320842153,0.03690364750861737,0.032457797436273965,0.0,0.22760935999905677,0.4046886919499412,0.16028617467637357,0.10347757069173083,0.1676248864882455,0.34780294461041406,0.04181204881639633,0.12385456886443531
AtomicOrbitals|LUMO_energy,0.4028028531715356,0.477622615710566,0.869240229560162,0.478645660605237,0.5027947341123974,1.0,0.11272629294298117,0.14951349104875739,1.2598471894219267,0.0,0.1365462519253666,0.136656023983189,0.21969535419352748,1.275254917481108,0.3909190658558965,0.35789641671566086,0.16202959512121173,0.2441919269516616,0.8327371908772638,0.8517946145158022,0.2298216446226486,0.31572205290430094,0.5291592990726838,0.27516387082829247,0.28762655059132963,0.12965928003782906,0.17810975648208707,0.7560906427007844,0.22029403586825091,0.20206286132858226,0.17423491090500728,0.22840290904333907,0.18856448130171619,0.08343379955036288,0.0671916752283574,0.05993450006707806,0.05777527825173831,0.2293818960747295,0.24138298320557874,0.4981865866071376,0.523417804579569,0.11881751904190224,0.12867498648910627,0.20333738148200733,0.2546402719788992,0.32315824599464815,0.31729759361515947,0.17440687326789334,0.1404041982251021,0.201049120571396,0.23587803726676945,0.199702799679139,0.2096093122242685,0.04494013448898217,0.008234879357058918,0.7264966012942993,0.7360798831033426,0.6380885898327311,0.660323542684177,0.1247494400634836,0.577225772952974,0.2640897512352654,0.32719274210413984,0.28684775013627734,0.35467494050401144,0.24857413491303174,0.0904226441096015,0.5038888625745884,0.1723848297235148,0.1506594043104421,0.025815456684842437,0.22444824438807817,0.2261983055104189,0.08430599000589839,0.14362765579165798
AtomicOrbitals|gap_AO,0.01940950735353063,0.08038382677775352,0.16815943750628734,0.07794210656972357,0.05027711507765068,0.11272629294298117,1.0,0.023085904120737463,0.2547716158625878,0.08038512076873316,0.22443547530615207,0.07914620989809563,0.09059867795169535,0.28891941653054254,0.010327850942645775,0.018448963559592954,0.0,0.0,0.08892715663890326,0.12710721791559468,0.017202344583551705,0.021773157915032395,0.055913923662553114,0.0,0.02194342171604409,0.020834971400696727,0.027590882764574692,0.06126308156646131,0.0,0.0,0.0015760970745980138,0.0,0.10217462007732137,0.04479724946135897,0.1121479143624518,0.08056523686098863,0.10145528267955502,0.0,0.0,0.06433367672200377,0.09204726894402834,0.0,0.0,0.02776308105795841,0.0,0.021154343679352774,0.030150664318573956,0.04050516299612174,0.025996488532652177,0.023194371989532482,0.09179382361040613,0.0,0.0,0.08730839295317283,0.11767839161738634,0.2263156276197922,0.18287488096948756,0.17232586205266406,0.11145447629804218,0.04069374629976779,0.1222772866158633,0.16233521069976034,0.15921089767281307,0.11935617498716763,0.15994763101746653,0.054168825174204766,0.05629418021492034,0.07198408427472049,0.13298295119130857,0.05136056445726912,0.027289603820982937,0.020307500429806183,0.038609828006754734,0.006840639874294597,0.0
BandCenter|band center,0.031236798011587463,0.050264297094939424,0.15724718229328571,0.04895272750337809,0.037758444137018725,0.14951349104875739,0.023085904120737463,1.0,0.20855205311970312,0.05168073280255425,0.20776214875902216,0.19100481482775294,0.15931001066341477,0.20952841239476028,0.03866400179038862,0.0402303926974529,0.03991521411849783,0.036310868172620775,0.19066821194596822,0.19260484962264343,0.09739636796312323,0.09249736996956989,0.26650078925340587,0.13974332878862983,0.23498652923839056,0.7178680331172592,0.3271982425002961,0.29220691281078653,0.0408491813871032,0.04081843858691262,0.04095165284500878,0.04095514520623104,0.0405782039130564,0.05897814797697073,0.058140116400031194,0.06413954474700004,0.058235672687408084,0.0,0.0,0.06594179312271098,0.08813222689795853,0.0,0.0,0.013024158376444278,0.023614027344122757,0.10638833280237783,0.11154520361461799,0.07222565277507792,0.0655239057980037,0.04081020578171981,0.040806405354699045,0.0411859134003028,0.04121811667030793,0.06472015932963002,0.03379883153798897,0.1739389374679889,0.17157856344423253,0.15889309041170385,0.15841117820924006,0.05767264323117206,0.1853877552847411,0.12265449290229395,0.1896445597126613,0.17116478242494926,0.07036620728939272,0.04051126050121918,0.06478663742923664,0.05963782491232353,0.013865931313804394,0.04563035212523896,0.03947056385923843,0.02575896937458313,0.022504112210404444,0.0,0.12279561430601066
ElementProperty|MagpieData minimum MendeleevNumber,0.7480288638199091,0.8512289972901211,1.2448010379652426,0.7766975911700115,0.8257242598822906,1.2598471894219267,0.2547716158625878,0.20855205311970312,1.0,0.0,0.6147162760084719,0.29549220851597363,0.32878995859288473,1.0012413639834512,0.17499070220843668,0.1811167669579752,0.23505031807681526,0.1874860527986733,0.5950477744478647,0.6200991510502164,0.20029691611716963,0.22811401421970778,0.2977384521102772,0.14940002612504752,0.1601554675186453,0.09972517780986562,0.15379159978937615,0.4045442073220587,0.09945769962138495,0.10958815768808626,0.02027622052385191,0.12103866943461677,0.07908906175061893,0.0,0.0,0.0,0.0,0.2766533105088215,0.3797538761601834,0.4457415868353323,0.5299188681849626,0.08626710575890867,0.025523833321529542,0.11825037592352473,0.06876296225508208,0.17714673168871503,0.2667014080785034,0.18362976732621353,0.13534062531101032,0.13830923160184178,0.09970730115144534,0.10237683718599624,0.09705605596918775,0.0,0.0013508140151438236,0.7605045485284494,0.6837431145187504,0.5936125245391849,0.5889099589432323,0.04399456851770498,0.6006143835470625,0.22449873602844053,0.3245566708981383,0.19536054587859236,0.7254475084584472,0.10954305547114726,0.0,0.39573009628568845,0.03823976919529245,0.12942605124573853,0.1555368849229795,0.18957604725788252,0.14320860799318724,0.09795524393376984,0.17134941429994527
ElementProperty|MagpieData maximum MendeleevNumber,0.0,0.0,0.0,0.016919958264368543,0.0,0.0,0.08038512076873316,0.05168073280255425,0.0,1.0,0.2280751511169473,0.03710955605156027,0.015532561335491963,0.0,0.23503161909577627,0.2592110846700761,0.0,0.0,0.0,0.013575897285617575,0.0,0.0,0.1606309572233693,0.3791161817573963,0.15485602856703898,0.07529265683905526,0.06602077342513016,0.0,0.0,0.0009209118755389495,0.0,0.0,0.0489569245650882,0.9221723631510258,0.9149103948584607,0.9781286083549361,0.9431992319273586,0.08081631880534285,0.07931011711101534,0.024438758609933737,0.010475073167378106,0.0,0.009989384598322439,0.050558338176810526,0.05723588637272408,0.5921847059515619,0.6821529046335292,0.09329697227065722,0.11773663719365275,0.0,0.0,0.0,0.0,1.0179716576920212,0.8417420446497915,0.0,0.0,0.0,0.0,0.769279656459871,0.0010325886087582357,0.3788869131287017,0.28433565821680873,0.3845750732136161,0.010479436404152208,0.0,1.0576320298016617,0.0,0.06022549475747018,0.0762433428307111,0.20004224861040026,0.11132888322366663,0.04349219730961047,0.13193432917402964,0.02879575291195479
