,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NUnfilled,AtomicOrbitals|gap_AO,ElementProperty|MagpieData maximum CovalentRadius,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData mode NUnfilled,ElementProperty|MagpieData maximum NdUnfilled
AtomicOrbitals|HOMO_character,0.058239900890045,1.1741199689655075,1.172270721246822,1.1727763669587274,1.0978630016029218,1.1274632151068318,1.082104938963067,1.0135644812428368,1.0855995632278117,1.0935056266639773,0.9357651163178963,1.1567323806513992,1.1459768700305994,0.9088863343283501,0.7223782362018754,1.1668667066712737,1.1183520829698332,0.6151472935062821,1.17370227504376,0.308928365398681,1.1598883167089984,0.4290439556847467,1.1025330178306776,1.0235776118265913,0.6670901171731336,1.1700283915118836,0.4130407933979877,0.5430153390963149,0.25705155127957874
AtomicOrbitals|HOMO_element,0.057999220098917094,1.6920338592174309,1.061054140516608,1.6886827570646705,1.6687663750243051,1.4094289533235744,1.1046088365877584,1.6833746799521287,1.4053543494124745,1.5915866050717522,1.6781688005412403,1.6816590607202466,1.6023576492869844,1.6102171854776033,1.2899603326343174,1.661354712235199,1.4582854134906689,1.2482169262379996,1.6512747318652419,0.27392814788687947,1.479504003079098,1.664477422625973,1.5322503660262698,0.6198628832516462,0.8759746812959686,0.6023620298079773,1.1194060819853409,1.4678467944950488,0.7755393880749404
AtomicOrbitals|HOMO_energy,0.025233117419518346,2.234258266446347,2.0031811967899027,2.0560315310991037,2.0244551503382917,1.4167104358838538,1.47000365258263,1.9431929915685753,1.2041606399945792,1.3164226111756365,1.494871028158782,1.5861407555820133,1.1049948041507887,0.7871825570260084,0.30299008116792814,1.632813236231173,1.9041555385392503,0.207972991991857,1.826576293002809,0.0852009165851286,1.7861241565616506,1.898817863598454,1.1464208930930602,1.357156063537091,0.3157418127738712,0.9127467515699288,0.16432356710419357,0.5660596209509078,0.12006604608172632
AtomicOrbitals|LUMO_character,0.05612864596976661,1.258948962807124,1.2592464464761248,1.2563577078716353,1.1271483457563385,1.1604672951183328,1.15406217885855,1.0373186562339476,1.176381832774566,1.1369451250339708,1.017157425148183,0.9532550629119654,1.1244703673181784,0.9647348810909634,0.7237165354012073,1.2262538495598179,1.227124144135029,0.35784600823679336,1.2315207487881241,0.24756020619099775,1.214647120595706,0.606081769079326,1.2374982884515269,1.2034067808662199,0.5934724677935735,1.1642080605639944,0.3382385473666148,0.4316452567066856,0.2617342983697396
AtomicOrbitals|LUMO_element,0.10154288536321236,2.714162747851693,1.3046956093175601,2.712652409948908,2.490888252797718,2.2227473587808495,1.6754150540375075,2.6849721874945622,2.201494417225416,2.538601047880424,2.640684300901142,2.3507349212403565,2.714162747851693,2.692056436462651,1.5539746768946672,2.6914797134589374,2.468645947507371,1.8989542131835893,2.697740563952622,0.4791272346053065,2.274225135771181,2.356585728117308,2.618509570865784,0.919791268243117,1.159539766851289,1.3936485959778173,1.9417702821280285,2.7076108417850935,1.132920004072826
AtomicOrbitals|LUMO_energy,0.018705345985285973,1.7160174885926083,1.5593770059264722,1.5561109145107022,1.506019956401326,1.1229316806011975,1.0219281741828055,1.5318797084256486,0.8144884122349969,1.0952498081281692,1.1474623238879083,1.0975117985287282,0.9235856006849975,0.653510226362347,0.2561694055411216,1.3565890734897363,1.5181841742087407,0.17435021158221525,1.6072277245908067,0.0626589631263714,1.478294783520345,1.5322734030430798,0.8711407858373351,1.113907240252309,0.21937805047700185,0.6685518495189302,0.13277155057468973,0.5593089058565465,0.09245160474881885
BandCenter|band center,0.7703390821853621,1.0899318918674854,1.0971347414162953,0.06113421611671924,1.0089805956050755,1.0962271718496346,1.0946109048424102,0.827164287974832,0.6833032522469898,1.0511317823732558,0.9219993955657135,1.0971347414162953,1.00925830149592,0.8314804601557657,1.0823372610215862,0.41780839331419883,1.0826115774767946,0.8448764683206097,1.0964800542419795,0.8282338564299092,1.0921565357523713,0.7729306926458669,0.9722166399733818,1.0965280276420286,0.5830937236519497,1.038013736263181,0.9231468937900555,1.0792256204617028,0.8799127801032256
ElementProperty|MagpieData mode MendeleevNumber,0.11398111731406423,5.325521693737086,5.325521693737086,5.093247858048348,4.341113384521959,4.242892393111451,4.052215600528516,1.613052541700331,4.013584722492973,3.9235399527182815,0.8900991506935315,2.212449319391311,3.4783021262547638,1.8919533988168855,1.2628702621669958,4.557355626885585,4.828824209959534,0.4892975462250797,2.5099381169020627,0.5351233597914293,4.765825120125548,0.6918875899188102,4.497852425460492,4.540048891090034,1.978394539093729,3.9684446507024687,0.510535142500006,0.4444409819549147,0.2132360060343442
ElementProperty|MagpieData maximum AtomicWeight,1.8269499973318999,1.4235225430557874,1.023627712098423,2.26943152614936,1.4918156068150463,1.4297594534507536,0.22640648309738462,2.2850916125146212,1.934998832223331,1.5928336498364726,2.2811331168115574,0.449917407152796,2.278103559258433,2.285755487725825,0.602336565972022,2.2801605634129967,0.9822980591361,0.8507765101778286,2.2860255265941696,0.13367271596590324,1.6032052913214567,2.2259061560927034,0.8834578890335182,0.8773360490855078,0.7755236589074833,0.05952358950424327,0.7017832866380267,1.632317521182413,0.5432511055326774
ElementProperty|MagpieData range AtomicWeight,1.7943475909781494,1.2663632974226653,1.0456453407845652,2.277766177201441,1.5007086738020865,1.4745295926191895,0.2325475036492649,2.2930051128524673,1.9227618714450256,1.6486279111054751,2.2890994546398304,0.4206411724616751,2.2912307351165793,2.29366697028009,0.625823743944141,2.2889833981367858,1.0526385728861174,0.9500371984299575,2.2934060931955087,0.14602646335492603,1.6179769649750333,2.2575300065821713,0.9239613543575286,0.889485883945761,0.7766630752599101,0.05872059527229352,0.7085690508119249,1.9955184781633424,0.5618750928356667
ElementProperty|MagpieData mean AtomicWeight,1.0206918435472498,1.6393579750615543,1.1807805079268225,1.6382697287581216,1.3139730822084406,1.2080203665701663,0.08860298439114449,1.5822417621015066,1.6300323031108763,0.7871039000969607,1.6392365903694883,0.729070184507168,1.6388747245840132,1.6393579750615543,0.7244093772003465,1.6393522734871715,0.9007973236585373,0.8167743236811263,1.6393579750615543,0.4112912746541014,0.8050086566442132,1.6273510220624556,1.5863691471322008,0.6033891012487332,1.2390942367488638,0.42955351757847804,0.8854524319958726,1.3984477462576022,0.775567260191285
ElementProperty|MagpieData range CovalentRadius,0.2841182904489266,3.3946411174587205,3.3919830568229625,2.9130123583874195,1.4966522484262272,2.884571350254771,0.6083983085722531,2.246626634301979,2.187916211221548,0.9343020816906621,1.3248018920026385,1.9418327966402393,2.3206624476949953,1.5695170603902464,1.3045710654430291,2.6702270845483147,3.293827328234992,0.23737726282023308,3.0952975423043156,0.07769296853188663,3.2351042310840024,1.145674240078411,3.2853560066780294,2.5196167717136793,0.6607302442456043,1.7926786474960716,0.5478761460396436,1.5501014491264784,0.31095264984872567
ElementProperty|MagpieData avg_dev CovalentRadius,1.19051601700994,1.850431971216127,1.837889039934923,1.8048753415034209,0.8657507407578289,1.6990980150458703,1.213778450987514,1.7117165049287757,1.529938528378333,0.0971459962839136,1.6077132736135311,1.4385272026259341,1.7580429799888515,1.5299388237453506,0.6001353971182434,1.6418540765532919,1.7681800486415824,0.6611885974583611,1.8495046315899475,0.3035135148282313,1.7694145340727871,1.4974281160115785,1.7063245320757672,1.7026484206331807,0.8977983507860102,1.6011327283036936,0.40753334618302156,1.1843408219281415,0.33423872681781347
ElementProperty|MagpieData mode Electronegativity,0.4881673265401407,1.982986031210236,1.9439011152381185,1.042020170841699,1.2846956493308783,1.517389787468427,0.7737340457333126,1.59646605774368,0.452508502921564,0.7592186826283458,1.113890209572393,1.0524286124528166,1.0362413941197843,0.7373073023519385,0.18549284458750634,0.9138828275958065,1.8395308133364563,0.13221398751165436,1.9614555233318218,0.24452921924019613,1.7746678837225143,1.114692097488506,1.8539659865216387,1.4206393469568006,0.1014215316606719,0.9748648818586824,0.1035701971786118,0.637515815025396,0.07295046948451593
