id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,hull_distance
8397402,63.4,65,0.0,73,3.08110810721275,1,5,0.0,0.212789304679212,5,
9380175,67.0,65,0.0,73,3.11682877819512,1,8,0.0,0.200159611154652,3,
1735482,65.8,65,0.0,73,2.95361524936575,1,7,0.0,0.203555222517664,4,
3092751,63.8,65,5.6,73,3.10286357306685,0,4,0.0,0.205321731788082,5,
2198367,66.6,65,0.0,73,2.97426846124354,0,7,0.0,0.190002022649909,3,
7126859,63.0,65,0.0,73,2.92715600644753,1,5,0.0,0.196964612064823,5,
4123795,65.4,65,0.0,73,2.91515443281802,0,6,0.0,0.190002022649909,4,
2453071,67.8,65,0.0,73,2.96801276154949,0,8,0.0,0.191265628968897,2,
1279568,64.6,65,0.0,73,3.0371085664806,0,5,0.0,0.207130730050934,5,
1056832,61.8,65,0.0,73,2.99009137147445,0,3,0.0,0.203555222517664,5,
7548206,69.2,65,0.0,84,3.11112403642537,1,10,0.0,0.178187175712809,3,
9706385,68.0,65,0.0,84,2.96652922885365,1,10,0.0,0.184561293402918,4,
6703951,66.0,65,5.6,84,3.06594743066679,0,10,0.0,0.187750550694611,5,
5693807,65.6,65,0.0,84,3.08285566742357,1,10,0.0,0.200490193411229,5,
9245670,65.0,65,2.8,81,3.06734387757947,1,10,0.0,0.264762521262011,5,
9605831,65.4,65,0.0,83,3.04670699571091,1,5,0.0,0.209236908423423,5,
2541903,66.4,65,0.0,88,2.99073129233866,1,5,0.0,0.208181128439006,5,
6895471,65.4,65,8.4,81,3.0658688638151,0,10,0.0,0.263402454957875,5,
4692830,69.0,65,0.0,83,3.04790114624795,1,8,0.0,0.18391049142992,3,
4976231,67.8,65,0.0,83,2.99454168370259,1,7,0.0,0.191249486918778,4,
1059674,65.8,65,5.6,83,3.04123461487241,0,4,0.0,0.194888460581358,5,
3254689,68.6,65,2.8,81,3.12974784103819,1,10,0.0,0.262937277792971,3,
2096537,70.0,65,0.0,88,3.00253279545672,1,8,0.0,0.183016696114988,3,
7819360,67.4,65,2.8,81,3.03245926163554,1,10,0.057541,0.263192564548187,4,
5183609,68.8,65,0.0,88,2.8992946830756,1,7,0.0,0.190303673560119,4,
6971305,66.8,65,5.6,88,2.98686571998857,0,4,0.0,0.193918507395057,5,
2465970,62.8,65,0.0,72,3.04593574229475,1,10,0.0,0.234756787323376,5,
5749680,66.4,65,0.0,72,3.08651317266331,1,10,0.049604,0.2279288267092,3,
2487590,65.2,65,0.0,72,2.95396836019844,1,10,0.006147,0.229617304492512,4,
3891520,63.2,65,5.6,72,3.04139961154222,0,10,0.0,0.230543921141055,5,
2836405,66.0,65,0.0,72,2.96830954101235,0,10,0.0,0.223945679042768,3,
6491783,64.8,65,0.0,72,2.90115507190786,0,10,0.090821,0.223945679042768,4,
2931756,67.2,65,0.0,72,2.99889008361627,0,10,0.006536,0.22431623524546,2,
6982735,64.0,65,0.0,72,2.97811620769183,0,10,0.0,0.231522992329165,5,
2018563,68.8,65,0.0,84,2.99039032882964,0,10,0.0,0.15612386257877,3,
6175483,68.2,65,2.8,81,3.004659394949,0,10,0.0,0.263891812849298,3,
1923504,68.6,65,0.0,83,3.03404979958591,0,7,0.0,0.157618547511842,3,
5197243,69.6,65,0.0,88,2.98826751637705,0,7,0.0,0.156956739165573,3,
3582067,67.8,65,0.0,79,3.00357821356922,0,10,0.0,0.155709800070948,3,
6039182,67.6,65,0.0,78,3.00187682234424,0,7,0.0,0.154906931004829,3,
7803256,68.0,65,0.0,80,2.99826370385079,0,10,0.0,0.21943403815018,3,
7521463,65.2,65,0.0,84,2.97788684636573,1,10,0.0,0.171830132537853,5,
9257083,64.6,65,2.8,81,2.9667588532642,1,10,0.0,0.262909117334157,5,
7905641,65.0,65,0.0,83,2.93302853208317,1,5,0.0,0.17649185829694,5,
9321840,66.0,65,0.0,88,2.90764598438589,1,5,0.0,0.17565566424556,5,
2760143,62.4,65,0.0,72,2.93859750856148,1,10,0.0,0.226472471692405,5,
9618250,63.2,65,0.0,74,2.93819800997277,1,10,0.0,0.186658751975725,5,
9138254,64.2,65,0.0,79,2.96497767534081,1,10,0.0,0.171719548408983,5,
7243896,63.4,65,0.0,75,2.93390067685736,1,10,0.0,0.222451146254414,5,
4165230,64.0,65,0.0,78,2.92476597978901,1,5,0.0,0.172044228070584,5,
3041965,64.4,65,0.0,80,2.94700006120261,1,10,0.0,0.222451146254414,5,
7063891,67.6,65,0.0,84,2.95633912667859,0,10,0.0,0.15612386257877,4,
9328467,67.0,65,2.8,81,2.96010703503863,0,10,0.097071,0.263891812849298,4,
5196087,67.4,65,0.0,83,2.97951800482485,0,6,0.0,0.157618547511842,4,
2673845,68.4,65,0.0,88,2.94316708422607,0,6,0.0,0.156956739165573,4,
8054917,66.6,65,0.0,79,2.95758091040851,0,10,0.097071,0.155709800070948,4,
5619803,66.4,65,0.0,78,2.94024336254365,0,6,0.097071,0.154906931004829,4,
4267580,66.8,65,0.0,80,2.96270224385717,0,10,0.097071,0.21943403815018,4,
4203176,63.6,65,0.0,74,3.08255934214625,1,10,0.0,0.20609831249986,5,
4265083,67.2,65,0.0,74,3.08186854727728,1,10,0.0,0.190716824855805,3,
6752138,66.0,65,0.0,74,2.91916296919111,1,10,0.0,0.194942090256101,4,
5902371,64.0,65,5.6,74,3.1072224164286,0,10,0.0,0.197110518441763,5,
3264017,66.8,65,0.0,74,2.98562840425146,0,10,0.0,0.17740691724314,3,
7804269,65.6,65,0.0,74,2.94220240530233,0,10,0.0,0.17740691724314,4,
2819470,68.0,65,0.0,74,2.98761211077208,0,10,0.0,0.179141821333142,2,
3892147,64.8,65,0.0,74,3.03610897621537,0,10,0.0,0.199312714776632,5,
5718692,64.6,65,0.0,79,3.08075724436164,1,10,0.0,0.200781428195816,5,
9317254,68.2,65,0.0,79,3.09020807131309,1,10,0.0,0.178179966487409,3,
8463201,67.0,65,0.0,79,2.9377533531613,1,10,0.057541,0.184648700679445,4,
9450781,65.0,65,5.6,79,3.08615522700914,0,10,0.0,0.187882263393752,5,
9840216,61.4,65,5.6,73,3.17553067393553,0,2,0.0,0.253730382469685,5,
3821574,63.6,65,5.6,84,3.21379332548432,0,10,0.0,0.259209876971558,5,
2361549,63.0,65,8.4,81,3.11268121428558,0,10,0.0,0.280519703259021,5,
3056417,63.4,65,5.6,83,3.18185250504839,0,2,0.0,0.272831172793036,5,
5308146,64.4,65,5.6,88,3.12128689779675,0,2,0.0,0.271520914645437,5,
1260374,60.8,65,5.6,72,3.15361180310376,0,10,0.0,0.262954625331178,5,
8496023,61.6,65,5.6,74,3.16392766179004,0,10,0.0,0.252497249948616,5,
6851203,62.6,65,5.6,79,3.13259329087417,0,10,0.0,0.259993958960147,5,
6283704,61.8,65,5.6,75,3.13640086098767,0,10,0.0,0.261365561965106,5,
9425807,62.4,65,5.6,78,3.11823452298567,0,2,0.0,0.263570544455797,5,
1365094,62.8,65,5.6,80,3.1351149058494,0,10,0.0,0.261365561965106,5,
2943061,62.0,65,8.4,76,3.11286373462678,0,10,0.0,0.278121511168405,5,
3149850,60.6,65,5.6,72,3.15315488725483,0,10,0.0,0.253441304432607,5,
5732806,63.8,65,0.0,75,3.02566229350333,1,10,0.0,0.231602777926551,5,
2078916,67.4,65,0.0,75,3.10265897207492,1,10,0.0,0.224103641018935,3,
6902314,66.2,65,0.0,75,2.96756525977758,1,10,0.0,0.225986928334126,4,
9765234,64.2,65,5.6,75,3.03230198935484,0,10,0.0,0.227010205999232,5,
4987650,67.0,65,0.0,75,3.02118549799904,0,10,0.0,0.21943403815018,3,
6319528,65.8,65,0.0,75,2.94620988987702,0,10,0.0,0.21943403815018,4,
9720165,68.2,65,0.0,75,2.92175163921047,0,10,0.0,0.21990216824065,2,
9518437,65.0,65,0.0,75,2.9700512532883,0,10,0.0,0.228085323342676,5,
9467830,64.2,65,0.0,73,2.892938,0,5,0.0,0.200159611154652,5,
1895642,66.4,65,0.0,84,2.91298551196286,0,10,0.0,0.178187175712809,5,
4750928,65.8,65,2.8,81,2.97902099398732,0,10,0.0,0.262937277792971,5,
5140362,66.2,65,0.0,83,2.94799541030822,0,5,0.0,0.18391049142992,5,
7932580,67.2,65,0.0,88,2.93415172636782,0,5,0.0048639999999999,0.183016696114988,5,
8605217,63.6,65,0.0,72,2.87977060117607,0,10,0.0,0.2279288267092,5,
8653417,64.4,65,0.0,74,2.89587570784648,0,10,0.0,0.190716824855805,5,
8290476,65.4,65,0.0,79,2.97158324851425,0,10,0.0,0.178179966487409,5,
2384019,64.6,65,0.0,75,2.88907368333961,0,10,0.0,0.224103641018935,5,
6930741,65.2,65,0.0,78,2.98760527441587,0,5,0.0,0.178885438199983,5,
4867502,65.6,65,0.0,80,2.94426261856755,0,10,0.0,0.224103641018935,5,
9157643,64.8,65,2.8,76,2.91091000843421,0,10,0.0,0.258645214868096,5,
9607438,63.4,65,0.0,72,2.89207907225488,0,10,0.0,0.198687728150178,5,
4528069,62.2,65,0.0,73,3.13806744355386,1,4,0.0,0.220794403122398,5,
1790246,64.4,65,0.0,84,3.15904952149468,1,10,0.0,0.213150440681858,5,
8410523,63.8,65,2.8,81,3.04880782107824,1,10,0.0,0.266897594919487,5,
3014689,64.2,65,0.0,83,3.11611197371193,1,4,0.0,0.223249411608884,5,
7348562,65.2,65,0.0,88,3.04807339587576,1,4,0.0,0.22212213093825,5,
6423907,61.6,65,0.0,72,3.08399584918774,1,10,0.0,0.23969492120604,5,
1932047,62.4,65,0.0,74,3.13787009637571,1,10,0.0,0.215484846803291,5,
9603748,63.4,65,0.0,79,3.12172573977982,1,10,0.0,0.213576950562855,5,
3469512,62.6,65,0.0,75,3.03766307339841,1,10,0.0,0.236906211638506,5,
2694380,63.2,65,0.0,78,3.1725689692159,1,4,0.0,0.215864849236958,5,
5648371,63.6,65,0.0,80,3.04586581483968,1,10,0.0,0.236906211638506,5,
5294037,62.8,65,2.8,76,3.04974930925551,1,10,0.0,0.26343055108671,5,
5160827,61.4,65,0.0,72,3.07887069874371,1,10,0.0,0.219909966516167,5,
4637091,70.0,65,0.0,84,3.00064268321028,0,10,0.0,0.159233637725358,2,
3740286,69.4,65,2.8,81,3.05283424907436,0,10,0.068933,0.263570544455797,2,
5146839,69.8,65,0.0,83,3.05251140526184,0,8,0.0,0.161428299141188,2,
4768210,70.8,65,0.0,88,3.11720793796411,0,8,0.050912,0.160727595430146,2,
2043178,69.0,65,0.0,79,3.01571454867458,0,10,0.060882,0.158885978904878,2,
1487932,69.2,65,0.0,80,3.02281493758441,0,10,0.066314,0.21990216824065,2,
3215784,47.8,65,0.0,73,3.17192432609778,0,1,0.0,0.262924903061244,5,
8315042,50.0,65,0.0,84,3.11801769016852,0,10,0.0,0.271013549918708,5,
3627410,49.4,65,2.8,81,3.14633174810822,0,10,0.005228,0.285329741988027,5,
1743698,49.8,65,0.0,83,3.22580808073177,0,1,0.0,0.285289029116658,5,
4127693,50.8,65,0.0,88,3.16640485724968,0,1,0.0,0.283945535334322,5,
