,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,LatticeConstants|c,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac s valence electrons,AtomicOrbitals|LUMO_element,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData avg_dev Electronegativity
AtomicOrbitals|HOMO_character,0.4169764677377047,0.5305170948855361,0.5093169089474896,0.530550465223335,0.530388527360009,0.5305517825247233,0.4808095948535875,0.5140109662009594,0.4062293521680824,0.22632869590095966,0.5304009873758478,0.26659471350234315,0.46300978628517225,0.022087640456077605,0.49150366950370555,0.4995285162449346,0.38973154475890925,0.32997796490090314,0.5063922488119593,0.4073305099258201,0.4652991361061081,0.41923072655666355,0.2227847855660957,0.4892336406674141,0.25384321960308454,0.40851488874960773,0.11722396751757028,0.13619482879741568,0.47326463645198974
AtomicOrbitals|HOMO_element,1.6625554317790343,1.7765183784708583,0.37792683227570534,1.7751555367968184,1.7739382027567283,1.635704877708155,1.546558624280643,1.7630004453686574,1.3014247931517826,1.5532865616587193,1.7760026831043267,1.3488576550422156,1.2277000028911969,0.061721816366610616,1.5052768477769947,1.583171693845051,0.9360545795939488,1.2415312623007997,1.4163890567994901,1.6864933408608818,1.5791118226427643,1.248270468876093,1.2009142621299373,0.6417288882601362,0.8799752064402228,1.6902662405312512,0.788674414072535,0.3317683115515153,1.4545031067383336
AtomicOrbitals|HOMO_energy,0.953391502318236,1.3984304984804445,0.8064487409599355,1.393008121037734,1.2914463123411433,0.9371958056229902,0.6789986963904618,0.9367100449543431,0.46335326053065395,0.35639000661086756,1.3898458610196056,0.12137585508256457,0.4064589751503042,0.01638081787568494,0.5257367619041898,0.6937070749778534,0.350541381140112,0.15308122274632002,0.6752956782050977,0.29955190057094155,0.5177499962447172,0.33936808528172974,0.7321276137115342,0.2618340529351075,0.15727898303306312,0.6827561183325788,0.07062697180882022,0.05419904976511286,0.4279701333038329
AtomicOrbitals|LUMO_character,0.07816830630532956,0.09898230241931487,0.090693301107508,0.09925199103807414,0.09913011017894836,0.09842777150112948,0.07150500668436435,0.07306101697331016,0.07131043928864704,0.029231324787955468,0.0991994409108424,0.03494866524646584,0.08071020216937605,0.003514083537916475,0.09236042367918633,0.09264116999451197,0.07237105977178065,0.053507496731675146,0.09115805530429738,0.06431091541321274,0.0840286789552777,0.07262767312196791,0.03482086839266378,0.0898990087933182,0.042666898507001894,0.07581786891024735,0.015867831327945007,0.015667317039455862,0.07915541426600768
AtomicOrbitals|LUMO_energy,0.8985773883137842,1.342764474051806,0.8526916999258157,1.3319108630203615,1.2613113706189576,0.9064320832861488,0.714346206623569,1.0919677428342773,0.492364137481437,0.43317181888896295,1.3378423172822547,0.12890687588763683,0.4287702390285293,0.16896637754581476,0.47149089148697815,0.6750852001143891,0.39623278237342024,0.15345725813067412,0.6264813837969357,0.32141311761575597,0.5075513840257961,0.27847196758896886,0.6703946286079804,0.30678882808461166,0.12018906382123805,0.6103067407691796,0.06684354016605955,0.04565766625649082,0.5034544756829451
BandCenter|band center,0.3675570035407538,1.0011139201616976,0.9610153316010952,0.8383044812294672,0.9869220839208211,0.952103631841096,0.9630706768062293,0.9823436428686793,0.6458039643565523,0.8575695232266499,0.9932432720237409,0.5834648824484773,0.6326243388168854,0.8957425036916767,0.42217415006293146,0.05589472690465796,0.7719572389564764,0.7379379969456157,0.6352756245188516,0.232044172016062,0.6916708666318787,0.26064003531092556,0.25788934749811077,0.5857480261955681,0.3093056186236645,0.3566237327279166,0.43159617490693697,0.2673770438284962,0.136577571353193
ElementProperty|MagpieData minimum MendeleevNumber,0.837779920856786,1.803799245123786,1.7547527202778035,1.803799245123786,1.7875858160013858,1.6461345795459852,0.7326158956285258,1.0125023743596784,1.287761085521202,0.13479217049248207,1.796249947654793,0.13713046764175363,1.3869816290940629,0.06607679742005532,1.3850176196415824,1.481382073294996,1.1951048924987455,0.47312817663164497,1.6499481409739136,0.6706063239675154,1.2359528801552353,1.266097398150925,0.2014609224993185,1.108790776860573,0.7752136046622307,0.7953342632095077,0.08349303596914552,0.1672285163810261,1.2720971695013314
ElementProperty|MagpieData mode MendeleevNumber,0.3911144269676686,1.859563335020233,1.8469503428992209,1.859563335020233,1.8429486759773572,1.859563335020233,0.8760623244762682,0.9490860842487173,1.3637837988403143,0.10367994721991029,1.8518274411934939,0.13215993379632607,1.472370370018332,0.069827340560314,1.2460344553920792,1.5658886201824127,1.234566372498094,0.44104103694633334,1.7331841054546642,0.5972609264462602,1.3053420337766684,1.4121909984258285,0.22714911010981179,1.1520479516412765,0.7483104563276914,0.26778329224001024,0.07340686703351137,0.1974945897775867,1.3652816604393554
ElementProperty|MagpieData maximum AtomicWeight,0.8470739758904529,1.019018476298196,0.24737638159922404,0.5169249468946671,1.008321950171411,0.8294564519127103,0.1477273409958976,1.0017336402900896,0.17238997588248445,0.8069150983369976,0.9197940295014553,0.33528882874974014,0.4195690784521337,0.529330157572304,0.7872212111759715,0.7280184565726442,0.08669329129855081,0.2368753850208335,0.3077857001473228,0.5989719092766841,0.289215193216212,0.44242361103084116,0.9248901314491379,0.025811626220665372,0.15345287014425987,0.8665211434575032,0.21881059855481041,0.05069647799046435,0.7290891408389593
ElementProperty|MagpieData range AtomicWeight,0.9122057561763818,1.0755347723518889,0.28225940965294904,0.5404857428030736,1.0655043986418595,0.8871856310287708,0.1858917799566312,1.0552155917472774,0.1850569791147806,0.8251147018179212,0.9813514561843619,0.3125552982541914,0.44120573560278764,0.5099451664245984,0.783413654744923,0.7661033233430625,0.09178006245062428,0.2348653872174204,0.34012243110698387,0.6473156755367602,0.3110769066407803,0.4354569726507873,0.9273669188350809,0.0272178183110746,0.1718351152820627,0.9171254025750243,0.2219678784369417,0.0595051247400969,0.7840014713312828
ElementProperty|MagpieData mean AtomicWeight,0.6981036192121246,1.9687488946746734,1.1098853762917125,1.7879733389748387,1.959140934504761,1.8640474276086088,0.7572413110926233,1.9677479533075428,0.4437849056982723,1.4354184061678132,1.605303639466478,0.669402037880536,0.3884040404661732,1.2849382453165124,1.6974782008886657,1.4300333298401133,0.07266619429877362,0.41168831066795925,1.0700700872352122,0.9156429887266265,0.335075247406397,1.0173146592344526,1.589534358694594,0.311251303569298,0.39791997863396894,1.4852391074483575,0.4817577783403159,0.2073117250058304,1.684867142636742
ElementProperty|MagpieData maximum CovalentRadius,0.5695867327151974,1.540599400384117,1.3049967100187605,1.5317322844511192,1.396809503450733,1.1302452304705837,0.9146211776758001,1.2283400661150288,0.4944922867941434,0.558648007529504,1.4365284382796137,0.1547520474039133,1.2127142280686911,0.26524588277647126,1.0663421447372223,1.010107283132041,0.12744653931565386,0.5030686736911419,1.3449096112127932,0.7060653615423752,0.4107183672732552,0.7363121660280982,0.44070647317782685,0.6971541851140951,0.20613080425895725,0.3878771057210793,0.13224255038147664,0.03441734353429339,0.8801884555973717
ElementProperty|MagpieData avg_dev CovalentRadius,0.5411829419276575,1.0336106872258106,0.8874874962377766,0.8766049267033198,0.9622816788768319,0.9996955943388325,0.5252910232379538,1.0105679375590184,0.18712572786909837,0.6589677635371578,0.901886766759523,0.3817537121469053,0.5012464735503719,0.8276215661686188,0.6295165005193631,0.7058738150964886,0.20890220756761485,0.19892999116099827,0.5976572568027559,0.39783111116906406,0.036739741825511374,0.5185243129676305,0.6728549168627768,0.3708451317132902,0.32757853122505004,0.5788263715386534,0.18698061998765167,0.20479637745443713,0.6226435110633034
ElementProperty|MagpieData mode Electronegativity,0.5478664740068785,1.1485763735416046,0.8607738124427106,1.1485763846988244,0.952535739853815,0.5512521593980887,0.5557205783076979,1.133463333411627,0.3127240341928928,0.3716398970686662,1.1051451604899356,0.06706630547499494,0.4826360881454985,0.2996148652363907,0.4591581703268733,0.34672659643974063,0.19225517419386476,0.1095985571339365,0.8951016122004962,0.2855139489894308,0.28334898013778215,0.14996252344802957,0.5400216123010169,0.4084105229876207,0.05475958878096501,0.38024514637758333,0.04108592572242349,0.1085561023816511,0.309036797676634
ElementProperty|MagpieData minimum NsValence,0.20482928779387638,0.2050798656789566,0.20397201448794566,0.2050798656789566,0.20507584606862325,0.003865542520361125,0.20173762532381745,0.20495756846907737,0.19846370928297302,0.1971673308152737,0.20493074000143502,0.17347318899873176,0.15280570852198672,0.20437406326431676,0.19722080970485784,0.19526962951314172,0.18568183573967892,0.1931991657414285,0.15735218467890189,0.20020576166938814,0.19972513798949762,0.1776181805478962,0.20466482424248886,0.20447909750112248,0.1561924780451374,0.20467857931648312,0.1621026041170798,0.16424545275679625,0.1969882667901438
ElementProperty|MagpieData mean NsValence,0.2044917076361957,0.2032884099083326,0.18738908309710509,0.20457921783149988,0.20457530921395073,0.004903285746974414,0.20406704067343992,0.20374515965181958,0.19868343536783442,0.19838670455278024,0.20443420734569037,0.15119457382525714,0.16882929715610318,0.20295271060781617,0.20395216461379775,0.1961217199516097,0.18567170321526957,0.19573933355811896,0.16669568127645765,0.2013017634475189,0.19996745188702383,0.17311668244777878,0.1950361397368382,0.19522164892425453,0.15061339646971414,0.20318604965990622,0.14255616117868058,0.16675162914518468,0.19612625103823725
