id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,LatticeConstants|c,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac s valence electrons,AtomicOrbitals|LUMO_element,ElementProperty|MagpieData range NUnfilled,hull_distance
8397402,63.4,65,0.0,73,3.08110810721275,1,5,0.0,0.212789304679212,5,11.5263140271993,6,0.380952380952381,42,1,
9380175,67.0,65,0.0,73,3.11682877819512,1,8,0.0,0.200159611154652,3,12.2403713199083,5,0.296296296296296,45,2,
1735482,65.8,65,0.0,73,2.95361524936575,1,7,0.0,0.203555222517664,4,12.8282499686915,5,0.32,44,1,
3092751,63.8,65,5.6,73,3.10286357306685,0,4,0.0,0.205321731788082,5,11.5928644025484,6,0.204081632653061,74,1,
2198367,66.6,65,0.0,73,2.97426846124354,0,7,0.0,0.190002022649909,3,11.3128781024826,5,0.37037037037037,27,2,
7126859,63.0,65,0.0,73,2.92715600644753,1,5,0.0,0.196964612064823,5,11.0459174178345,6,0.380952380952381,5,1,
4123795,65.4,65,0.0,73,2.91515443281802,0,6,0.0,0.190002022649909,4,11.0211804599778,5,0.4,13,1,
2453071,67.8,65,0.0,73,2.96801276154949,0,8,0.0,0.191265628968897,2,11.041322626777,5,0.344827586206897,28,3,
1279568,64.6,65,0.0,73,3.0371085664806,0,5,0.0,0.207130730050934,5,11.5729549520416,5,0.434782608695652,43,0,
1056832,61.8,65,0.0,73,2.99009137147445,0,3,0.0,0.203555222517664,5,11.1764220177529,7,0.526315789473684,23,2,
7548206,69.2,65,0.0,84,3.11112403642537,1,10,0.0,0.178187175712809,3,13.609062315587,5,0.205128205128205,33,2,
9706385,68.0,65,0.0,84,2.96652922885365,1,10,0.0,0.184561293402918,4,13.6145604112107,5,0.216216216216216,33,2,
6703951,66.0,65,5.6,84,3.06594743066679,0,10,0.0,0.187750550694611,5,12.4589954054752,6,0.163934426229508,74,3,
5693807,65.6,65,0.0,84,3.08285566742357,1,10,0.0,0.200490193411229,5,12.0089174845184,6,0.242424242424242,42,3,
9245670,65.0,65,2.8,81,3.06734387757947,1,10,0.0,0.264762521262011,5,14.6577246090448,6,0.173913043478261,42,2,
9605831,65.4,65,0.0,83,3.04670699571091,1,5,0.0,0.209236908423423,5,11.4221207898969,6,0.347826086956522,42,3,
2541903,66.4,65,0.0,88,2.99073129233866,1,5,0.0,0.208181128439006,5,12.1267388961034,6,0.333333333333333,42,4,
6895471,65.4,65,8.4,81,3.0658688638151,0,10,0.0,0.263402454957875,5,15.0000743440876,6,0.135135135135135,74,2,
4692830,69.0,65,0.0,83,3.04790114624795,1,8,0.0,0.18391049142992,3,11.8014287144413,5,0.275862068965517,15,2,
4976231,67.8,65,0.0,83,2.99454168370259,1,7,0.0,0.191249486918778,4,12.5011741267224,5,0.296296296296296,15,2,
1059674,65.8,65,5.6,83,3.04123461487241,0,4,0.0,0.194888460581358,5,11.6544668351341,6,0.196078431372549,74,3,
3254689,68.6,65,2.8,81,3.12974784103819,1,10,0.0,0.262937277792971,3,14.2914952395466,5,0.153846153846154,45,2,
2096537,70.0,65,0.0,88,3.00253279545672,1,8,0.0,0.183016696114988,3,12.7774786103967,5,0.266666666666667,45,3,
7819360,67.4,65,2.8,81,3.03245926163554,1,10,0.057541,0.263192564548187,4,14.7740216930261,5,0.16,44,1,
5183609,68.8,65,0.0,88,2.8992946830756,1,7,0.0,0.190303673560119,4,13.1967058762683,5,0.285714285714286,44,3,
6971305,66.8,65,5.6,88,2.98686571998857,0,4,0.0,0.193918507395057,5,12.3020248219628,6,0.192307692307692,74,4,
2465970,62.8,65,0.0,72,3.04593574229475,1,10,0.0,0.234756787323376,5,13.4269682639266,6,0.266666666666667,42,6,
5749680,66.4,65,0.0,72,3.08651317266331,1,10,0.049604,0.2279288267092,3,13.8181621618019,5,0.222222222222222,45,5,
2487590,65.2,65,0.0,72,2.95396836019844,1,10,0.006147,0.229617304492512,4,13.9157438883262,5,0.235294117647059,48,5,
