id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,LatticeConstants|c,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac s valence electrons,AtomicOrbitals|LUMO_element,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData minimum Electronegativity,hull_distance
8397402,63.4,65,0.0,73,3.08110810721275,1,5,0.0,0.212789304679212,5,11.5263140271993,6,0.380952380952381,42,1,2.002,38.284233824,2.0,2.16,5.4,119.4,0.55,23,6,1.61,
9380175,67.0,65,0.0,73,3.11682877819512,1,8,0.0,0.200159611154652,3,12.2403713199083,5,0.296296296296296,45,2,2.05,41.618073824,3.2,2.28,4.2,114.6,0.67,14,9,1.61,
1735482,65.8,65,0.0,73,2.95361524936575,1,7,0.0,0.203555222517664,4,12.8282499686915,5,0.32,44,1,2.018,40.737033824,2.8,2.2,4.6,116.2,0.59,17,8,1.61,
3092751,63.8,65,5.6,73,3.10286357306685,0,4,0.0,0.205321731788082,5,11.5928644025484,6,0.204081632653061,74,1,2.082,80.466633824,1.6,2.36,5.4,122.6,0.75,22,20,1.61,
2198367,66.6,65,0.0,73,2.97426846124354,0,7,0.0,0.190002022649909,3,11.3128781024826,5,0.37037037037037,27,2,1.89,20.511367424,2.8,2.04,4.2,108.2,0.43,15,9,1.61,
7126859,63.0,65,0.0,73,2.92715600644753,1,5,0.0,0.196964612064823,5,11.0459174178345,6,0.380952380952381,5,1,1.802,17.181561824,2.0,2.04,5.4,113.4,0.43,24,6,1.61,
4123795,65.4,65,0.0,73,2.91515443281802,0,6,0.0,0.190002022649909,4,11.0211804599778,5,0.4,13,1,1.87,19.029033824,2.4,2.04,4.6,110.6,0.43,18,8,1.61,
2453071,67.8,65,0.0,73,2.96801276154949,0,8,0.0,0.191265628968897,2,11.041322626777,5,0.344827586206897,28,3,1.902,20.396265824,3.2,2.04,3.8,107.4,0.43,12,10,1.61,
1279568,64.6,65,0.0,73,3.0371085664806,0,5,0.0,0.207130730050934,5,11.5729549520416,5,0.434782608695652,43,0,1.898,39.263433824,2.0,2.04,5.0,116.6,0.43,20,7,1.61,
1056832,61.8,65,0.0,73,2.99009137147445,0,3,0.0,0.203555222517664,5,11.1764220177529,7,0.526315789473684,23,2,1.79,16.675353824,1.2,2.04,5.8,119.0,0.43,27,5,1.61,
