id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,hull_distance
8397402,63.4,65,0.0,73,3.08110810721275,
9380175,67.0,65,0.0,73,3.11682877819512,
1735482,65.8,65,0.0,73,2.95361524936575,
3092751,63.8,65,5.6,73,3.10286357306685,
2198367,66.6,65,0.0,73,2.97426846124354,
7126859,63.0,65,0.0,73,2.92715600644753,
4123795,65.4,65,0.0,73,2.91515443281802,
2453071,67.8,65,0.0,73,2.96801276154949,
1279568,64.6,65,0.0,73,3.0371085664806,
1056832,61.8,65,0.0,73,2.99009137147445,
7548206,69.2,65,0.0,84,3.11112403642537,
9706385,68.0,65,0.0,84,2.96652922885365,
6703951,66.0,65,5.6,84,3.06594743066679,
5693807,65.6,65,0.0,84,3.08285566742357,
9245670,65.0,65,2.8,81,3.06734387757947,
9605831,65.4,65,0.0,83,3.04670699571091,
2541903,66.4,65,0.0,88,2.99073129233866,
6895471,65.4,65,8.4,81,3.0658688638151,
4692830,69.0,65,0.0,83,3.04790114624795,
4976231,67.8,65,0.0,83,2.99454168370259,
1059674,65.8,65,5.6,83,3.04123461487241,
3254689,68.6,65,2.8,81,3.12974784103819,
2096537,70.0,65,0.0,88,3.00253279545672,
7819360,67.4,65,2.8,81,3.03245926163554,
5183609,68.8,65,0.0,88,2.8992946830756,
6971305,66.8,65,5.6,88,2.98686571998857,
2465970,62.8,65,0.0,72,3.04593574229475,
5749680,66.4,65,0.0,72,3.08651317266331,
2487590,65.2,65,0.0,72,2.95396836019844,
3891520,63.2,65,5.6,72,3.04139961154222,
2836405,66.0,65,0.0,72,2.96830954101235,
6491783,64.8,65,0.0,72,2.90115507190786,
2931756,67.2,65,0.0,72,2.99889008361627,
6982735,64.0,65,0.0,72,2.97811620769183,
2018563,68.8,65,0.0,84,2.99039032882964,
6175483,68.2,65,2.8,81,3.004659394949,
1923504,68.6,65,0.0,83,3.03404979958591,
5197243,69.6,65,0.0,88,2.98826751637705,
3582067,67.8,65,0.0,79,3.00357821356922,
6039182,67.6,65,0.0,78,3.00187682234424,
7803256,68.0,65,0.0,80,2.99826370385079,
7521463,65.2,65,0.0,84,2.97788684636573,
9257083,64.6,65,2.8,81,2.9667588532642,
7905641,65.0,65,0.0,83,2.93302853208317,
9321840,66.0,65,0.0,88,2.90764598438589,
2760143,62.4,65,0.0,72,2.93859750856148,
9618250,63.2,65,0.0,74,2.93819800997277,
9138254,64.2,65,0.0,79,2.96497767534081,
7243896,63.4,65,0.0,75,2.93390067685736,
4165230,64.0,65,0.0,78,2.92476597978901,
3041965,64.4,65,0.0,80,2.94700006120261,
7063891,67.6,65,0.0,84,2.95633912667859,
9328467,67.0,65,2.8,81,2.96010703503863,
5196087,67.4,65,0.0,83,2.97951800482485,
2673845,68.4,65,0.0,88,2.94316708422607,
8054917,66.6,65,0.0,79,2.95758091040851,
