,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta,LatticeConstants|a,LatticeConstants|b,LatticeConstants|c,GlobalSymmetryFeatures|spacegroup_num,GlobalSymmetryFeatures|crystal_system_int
AtomicOrbitals|HOMO_character,1.0,0.784655868194837,0.4994388970200656,0.7471983998953193,0.7954985683398356,0.4473267986318378,0.08785848918519704,0.1306026278771798,0.7831848843197006,0.00423133281171107,0.30980636211475154,0.1797686186795769,0.18542117076021639,0.7980753062104613,0.1388357339282059,0.18564851756443002,0.1851984822568423,0.19763000506679068,0.41367644575866025,0.39703035775810824,0.14390362650156407,0.15055457347378942,0.28615694441485967,0.1002554870410164,0.17824216616990132,0.10952095766921686,0.13697706458733028,0.3440869345555673,0.06800069466845349,0.002957727270831766,0.062276713733917355,0.006469521669291547,0.05124986153274618,0.02070148838134141,0.06660226586421587,0.06548029365137743,0.0,0.12995303874910497,0.12348177093129155,0.25193822289015294,0.27218455832763166,0.06612360801138693,0.06558147217881877,0.10934556131277953,0.08905702377772198,0.12140758908764429,0.13621809220805522,0.14061137261527248,0.13492566633588618,0.03894979990915829,0.0,0.08074853179982755,0.06938448556407505,0.0,0.046624301741604174,0.4500101615947898,0.42413153730985875,0.35949788646258213,0.32718367705942286,0.05092741161340093,0.2770772588146674,0.11894489133526513,0.1862035852311487,0.16616715328128578,0.3069776292400212,0.09254566385482886,0.0,0.23527340991550377,0.0958265045076801,0.14581752799551456,0.12500445192745982,0.17491074297139228,0.13945975994742763,0.13476604265793588,0.18692926378302668,0.018514022821168367,0.03814233716653041,0.01802976719909946,0.011071981593253212,0.0
AtomicOrbitals|HOMO_element,0.784655868194837,1.0,0.5146211362345768,0.3161830138263881,0.8472572165566303,0.4713306187262043,0.05435224109966449,0.14127416653900374,0.8289987305951897,0.025258389413533137,0.21726625532145705,0.11321157302022514,0.10255002129507844,0.8595639848722298,0.2868430036398945,0.27380730865009456,0.23139684258663437,0.2681453435722467,0.452652761837019,0.4552337468660324,0.13846967481418332,0.17288077549513578,0.2797481565709822,0.17567130940320608,0.20838372279369835,0.1373902858003419,0.16770700045573136,0.3715962599726212,0.13533627812574334,0.12219534231556513,0.10555856600574492,0.1278253333466413,0.10198299847120076,0.026955379579832767,0.0795762570513722,0.0488916336903417,0.0,0.14675934653463374,0.12502825376311513,0.21906348767790437,0.21159813826412485,0.26096593535650775,0.31408359601894964,0.3800654465537144,0.40193788266317576,0.33653981845057807,0.3555168907571265,0.2152120720911691,0.18018628963463018,0.032012503294469606,0.14566626533118282,0.0915445290176525,0.08437499308298785,0.030139837961785532,0.01633302703372203,0.29343156081596217,0.2998000337976692,0.24845301982063817,0.23690685457839852,0.035304419070899956,0.18916097561026363,0.15652299155637472,0.10410991852466904,0.10698632558960329,0.14509468905174383,0.1054598274309656,0.026540871269981517,0.20965117546895987,0.4310660133837824,0.2122481729862085,0.16833368454773998,0.2074403289736533,0.3385454165353729,0.1589004543215583,0.19831452063850175,0.031208305620428516,0.039047369197067854,0.01839996433912178,0.006414207643647495,0.04882785561591054
AtomicOrbitals|HOMO_energy,0.4994388970200656,0.5146211362345768,1.0,0.41548079442362457,1.2294833017660365,0.8723437299301562,0.21931241745959285,0.29710336389288033,1.2319322875468246,0.0432787448830204,0.26935988878634115,0.21534584558529327,0.2824248988023127,1.2523219256946332,0.4358299825641606,0.44334434333654615,0.3684322753231114,0.4012962888989031,0.8318922545330698,0.8156246906416845,0.332185013897897,0.37831996886711505,0.555624898282196,0.28445409231042146,0.4071224031895022,0.27947418832559384,0.3657936840250564,0.7823670042886015,0.2502303717035912,0.21919695021793778,0.2440973921099028,0.2360612503449041,0.22570306734885393,0.07052851075880374,0.06753568531217473,0.06513427609106279,0.09219879167443709,0.28344492196604576,0.25050957159800735,0.5565124918276296,0.5475208611179908,0.1561830713905521,0.1467009201234476,0.24914374291419103,0.2617197171092757,0.4547474842855827,0.43634455309035386,0.37325840202899385,0.3257088558218883,0.2166285617381222,0.23980480264255252,0.24290690581943716,0.2553220035372828,0.10443204517876588,0.0481043928350291,0.7515101354310351,0.7432901247546123,0.6708851673170094,0.6714572804313921,0.180599046885517,0.6118669195020351,0.3294770955362581,0.42979931156706863,0.3826681608248798,0.3983285698621221,0.26855868829356494,0.08659578375197736,0.5613213050727142,0.2506340587177725,0.37491726182208907,0.3469701349278009,0.42652452518973166,0.3386251479775325,0.26701162037125975,0.35177494564595674,0.12062406020350984,0.12439002980487758,0.050523148464431136,0.0,0.011563159724906357
AtomicOrbitals|LUMO_character,0.7471983998953193,0.3161830138263881,0.41548079442362457,1.0,0.8417339086267981,0.4900832531325692,0.19712566348993452,0.14820966515035552,0.8230804340315114,0.011571953073787883,0.34170520070753313,0.17920011271363367,0.18757045132402791,0.7949092775227783,0.152351309251599,0.14889945241709296,0.18994714727135203,0.19948433970662352,0.44780198263001747,0.4873062698791099,0.15682772687032026,0.18110932747658445,0.30561007766308035,0.12349991536099249,0.19860834913082295,0.11478399626178588,0.17560361513479794,0.38515313504046444,0.06508029638636051,0.05612062119802332,0.0,0.016375167379619204,0.002731660883251356,0.0,0.018006053089716707,0.0,0.07938535462288358,0.20243074787766935,0.18310055116614984,0.28116416364298746,0.31789656609913625,0.07559897438184482,0.06692434114185626,0.11663355660407423,0.14446381945116638,0.13023297612475543,0.15822212113954492,0.18064295566321853,0.13041093069510643,0.0,0.036372665064454475,0.0,0.07822052071180109,0.008032328146718627,0.0571951247591659,0.46540711892972575,0.48484289799049407,0.3628535708359001,0.3731618398034608,0.06089452874221542,0.3410588075246918,0.11651213397926405,0.22660344252314735,0.17322898993895014,0.37259271062584975,0.03845814580636317,0.03859445827194032,0.26378643046344397,0.1260466720868757,0.16981805633659292,0.17291406029797823,0.19347183703758142,0.15448533233733477,0.1484999001830024,0.20309074715751013,0.03000897775074429,0.04348273340668688,0.023199114107070106,0.03875790822448279,0.023451946634265895
AtomicOrbitals|LUMO_element,0.7954985683398356,0.8472572165566303,1.2294833017660365,0.8417339086267981,1.0,0.5323830501887881,0.17764683628434788,0.13567036484778403,0.8318041850529332,0.018295496244505265,0.2111870615693373,0.1072414856186507,0.10028531174007178,0.8246648950964826,0.2708417762127904,0.2878226712576018,0.2250188236158503,0.2548388599574768,0.47060241909782996,0.48634644463825255,0.1364510437154238,0.17441597501473655,0.3351301953770434,0.11996012849935954,0.21890335898187557,0.13147424842975475,0.15393249272000104,0.39415866699467106,0.0415767887632623,0.0937413863828855,0.055132087824258685,0.1261902966912222,0.10796678773169156,0.035779356479929,0.042574004900010155,0.06272838205612936,0.0,0.08488639499762736,0.14045373455164137,0.23676408280030295,0.24074128368445488,0.2689444876899206,0.29877705156705886,0.4146770721342569,0.461804561295843,0.2875638938462867,0.3500055140221723,0.2203970845586393,0.18359143640691278,0.06274365111159125,0.1391660282385244,0.08775822065672818,0.06383125607101081,0.0,0.0,0.3058704898998544,0.32034615034734704,0.26139676053434263,0.24719479700479405,0.009297661499501153,0.2572283659182787,0.10923310493412332,0.12828556829117962,0.10125101818720304,0.1036351908485537,0.08510140017868494,0.0,0.24589944136652767,0.3621237188706909,0.2064371241953368,0.16286830531073423,0.19691248728407196,0.33652745408975,0.16356020028015028,0.22322444556703872,0.02792516085713615,0.043393457416294,0.027301010372863733,0.0,0.059591475010849417
AtomicOrbitals|LUMO_energy,0.4473267986318378,0.4713306187262043,0.8723437299301562,0.4900832531325692,0.5323830501887881,1.0,0.16978031752563744,0.30232491302314785,1.2579862815054734,0.055440949862289035,0.27827635624799985,0.21952182742945864,0.29553441166434763,1.2465153853839381,0.4260965598849529,0.4298011667232007,0.34078918236493205,0.37223633007209483,0.8556054104600521,0.8536126543634843,0.32851817537426325,0.3857178245998939,0.6049794837766598,0.2907697871731355,0.4357456485877995,0.2769759947645359,0.32995265360916626,0.7672757706570803,0.20496654264660846,0.2175771779411452,0.21920579013604918,0.21207232233892218,0.19949649686659088,0.07924129632710945,0.12511075975154204,0.09547126137168631,0.10389179037781034,0.26631174827477,0.24590706206147794,0.5489538851239245,0.5387367920973708,0.14192260087812553,0.11625258171081103,0.2288353870047359,0.21664141258338393,0.4180315496384117,0.4283769128476651,0.32466854700040615,0.28612230655719384,0.2156150475803139,0.2228972653533724,0.214594558259901,0.23676258521951943,0.10218768241870477,0.0669073636381189,0.7542573236647345,0.7470868699166666,0.6631768197983713,0.6700740264914403,0.14323948494650335,0.5895284623754173,0.34154020188042167,0.4096001253116903,0.3507079500892182,0.35649032695498994,0.22493245399731976,0.09692459355248893,0.552269619792712,0.2308978136762795,0.3582922023787027,0.3244912509060182,0.3976472356430378,0.28909295091645143,0.2388777297631486,0.3338915251921615,0.11096307744486351,0.1289837216713613,0.042468496054030636,0.0,0.0
AtomicOrbitals|gap_AO,0.08785848918519704,0.05435224109966449,0.21931241745959285,0.19712566348993452,0.17764683628434788,0.16978031752563744,1.0,0.07377242579047039,0.25595388627843707,0.15510283970451974,0.26299922184101765,0.10454562874294608,0.10250253741020039,0.2741586930325103,0.07129289601876573,0.07396386677282,0.021878543718872896,0.042870675353516796,0.17565678280175873,0.16103071738798116,0.07003969376095008,0.07827537992554535,0.09652644500674167,0.062006705571715615,0.07998066126927586,0.06101412451098073,0.06748652669023354,0.06539032895694082,0.023080906354165414,0.0,0.04401560301033982,0.0,0.08686018157002379,0.09174365928222906,0.12288695835521866,0.11383671469435905,0.12084320648668194,0.05450508193972447,0.071310213766383,0.14501238188409143,0.15367127227979596,0.06370289667805777,0.0,0.017431369641996482,0.06915540063010413,0.13021105027028781,0.14063385732728806,0.11081402382529121,0.10647112030279668,0.035735512502171905,0.04490093791632681,0.03006123746384284,0.11112301715329506,0.11581586504335586,0.08015949802703863,0.15312297606147368,0.20856481095761856,0.18147459261063634,0.16431155658022004,0.11612585418270789,0.14233059938914014,0.1761579409224571,0.20923444428493548,0.15041260894717115,0.1864753039740476,0.09869408337237509,0.1636013438153314,0.12708445258666512,0.01323392171402115,0.10634285199528347,0.1080672276398273,0.11453445563987945,0.09931569820105582,0.05497320736904239,0.0573487673040339,0.02212286824469365,0.008974835004342515,0.0,0.00994782814413943,0.0
BandCenter|band center,0.1306026278771798,0.14127416653900374,0.29710336389288033,0.14820966515035552,0.13567036484778403,0.30232491302314785,0.07377242579047039,1.0,0.4880535210096709,0.1604991270295403,0.39640478497623877,0.3336658252711881,0.33899916713825506,0.48618900624734723,0.20565257513185362,0.20465293052446545,0.18102556310591464,0.18502852737943543,0.3875689052642596,0.38994994193108756,0.21230166357372968,0.2132932574697715,0.36411303010884005,0.2310508521905171,0.39450685104437644,0.7173618154592862,0.5160424219302241,0.37511474558665386,0.10408033664427309,0.10284102392001036,0.10319247953964134,0.1016306303776511,0.10279062254883597,0.1680977478079091,0.16759815482792592,0.17938475266441473,0.16848723928220238,0.09410720852313244,0.09385081247118801,0.19771863547817764,0.22581111232394943,0.07104188036467093,0.07081155952154929,0.09564221861705875,0.10309817573631826,0.24774681834434642,0.2502227912522374,0.2790840811511318,0.2302207950920126,0.10325938451884262,0.1028126017763405,0.10411936833581477,0.10309177173825453,0.18023342057069489,0.13650171591483923,0.30641807149969297,0.30508233540933277,0.2817182539992677,0.2815277126929111,0.21211126880032163,0.24852761474100316,0.3090431282751194,0.4154213974726292,0.3742837593476058,0.15269728553499995,0.1037689356965972,0.17897688274906734,0.19676617947752884,0.09585040371445591,0.23193572193288753,0.22155344116798964,0.21147140490834665,0.16573257184224904,0.02080021000448033,0.22754308423340802,0.06706749151738588,0.0715261502955777,0.05492370353278867,0.0,0.0
ElementProperty|MagpieData minimum MendeleevNumber,0.7831848843197006,0.8289987305951897,1.2319322875468246,0.8230804340315114,0.8318041850529332,1.2579862815054734,0.25595388627843707,0.4880535210096709,1.0,0.0,0.5570889220825487,0.2915967129811151,0.3010313589610222,1.0165851691721848,0.1920205920351743,0.1989111296430107,0.24849571534046697,0.22173265459940583,0.5793179880440299,0.5971916810246647,0.21420237328664277,0.22479417471504543,0.3056455018495096,0.12550451019675946,0.2086293434656907,0.16674642873414186,0.20751697233982558,0.45360956687517867,0.031028536508652543,0.12663703353086964,0.06460292620725541,0.021387262525080285,0.1178795779512466,0.0,0.0,0.0036691418385218933,0.011296559619199897,0.3157571667935285,0.2884236221390661,0.44724980614768606,0.5189389051430996,0.06748343088152008,0.10082921832888274,0.07745753402589452,0.13120627016393893,0.23771017899253674,0.20306661270151663,0.20314829613371568,0.16619717691864175,0.07918563693323968,0.08112000014634717,0.01894577083957427,0.06943791872114276,0.0,0.02876787831897888,0.7825683799762087,0.7664733704746307,0.5967338737648835,0.5982227969137265,0.10405552505290451,0.6421756281969134,0.18617357028242562,0.33145200169995326,0.21611096237058147,0.6461921680111126,0.0,0.0,0.3931763949141243,0.08380414576662466,0.18579216292594922,0.206435471480365,0.24308469823752493,0.16400143677351825,0.17547052813357114,0.20460619906964006,0.05746730570402815,0.09259258340037274,0.04440566026827276,0.0,0.0
ElementProperty|MagpieData maximum MendeleevNumber,0.00423133281171107,0.025258389413533137,0.0432787448830204,0.011571953073787883,0.018295496244505265,0.055440949862289035,0.15510283970451974,0.1604991270295403,0.0,1.0,0.3125399504087605,0.08066436515391162,0.0832136913543921,0.0,0.2753024110518964,0.27706152757082975,0.12895594156203757,0.14029575111744264,0.04943702669839273,0.027271115821228896,0.17015607142495437,0.15620131823466807,0.196255296547042,0.40288277120042404,0.20000071776369738,0.19719108574975727,0.19901521862576832,0.0,0.0,0.017135603506375684,0.0,0.0,0.004998757004973599,0.9119329288373019,0.8959041489429849,0.995428937039376,0.891194640837974,0.11801534869719237,0.14566082609302666,0.0447597117594496,0.05118334549385542,0.049515996215395694,0.01139497943161283,0.0535165705263163,0.03697416240594857,0.6859559732970262,0.6880919089553282,0.29233055579492306,0.22890146702826641,0.0,0.04732420224931112,0.0,0.0,1.0152855336555926,0.8001925551759329,0.0,0.0,0.0,0.007564407988309263,0.7865711056945466,0.028795826041068746,0.3364802562223758,0.34953333301430406,0.4128228408172101,0.0,0.0,1.0003262980989802,0.04579646811297386,0.04536452504384016,0.25975474223679185,0.36238636483010894,0.2888765512673435,0.15266468874964984,0.20678625857064128,0.23139895347217668,0.006201931419476753,0.014610552216131736,0.030959019147552353,0.0,0.0
