id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData range MendeleevNumber,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mean NUnfilled,ValenceOrbital|frac p valence electrons,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
8397402,73,3,-1.99066757562781,1,1.44,0.212789304679212,0.0,63.4,0.857647401287833,1,0.55,48.10470772,2.0,23,0.0,119.4,2.16,0.380952380952381,0.1568,5.4,0.142857142857143,6,6,0.476190476190476,2.002,1.61,5,4.2,10.72,0.48,
9380175,73,1,-2.03418843544091,1,2.88,0.200159611154652,0.0,67.0,0.675408211873564,2,0.67,50.88290772,3.2,14,0.0,114.6,2.28,0.296296296296296,0.184,4.2,0.111111111111111,9,5,0.592592592592593,2.05,1.61,3,5.4,6.4,0.96,
1735482,73,3,-2.00533214037694,1,2.4,0.203555222517664,0.0,65.8,0.861447518501113,1,0.59,50.14870772,2.8,17,0.0,116.2,2.2,0.32,0.1632,4.6,0.12,8,5,0.56,2.018,1.61,4,5.0,7.84,0.48,
3092751,73,3,-2.06244342089425,2,8.16,0.205321731788082,0.0,63.8,1.11512348926255,1,0.75,83.25670772,1.6,22,0.571428571428571,122.6,2.36,0.204081632653061,0.2224,5.4,0.0612244897959183,20,6,0.163265306122449,2.082,1.61,5,9.8,10.24,0.48,
2198367,73,1,-1.88313034577772,2,2.88,0.190002022649909,0.0,66.6,0.749876200656029,2,0.43,33.29398572,2.8,15,0.0,108.2,2.04,0.37037037037037,0.12,4.2,0.111111111111111,9,5,0.518518518518518,1.89,1.61,3,5.4,6.88,0.96,
7126859,73,2,-1.79168013027434,1,1.44,0.196964612064823,0.0,63.0,0.760535662172526,1,0.43,30.51914772,2.0,24,0.0,113.4,2.04,0.380952380952381,0.1904,5.4,0.142857142857143,6,6,0.476190476190476,1.802,1.61,5,4.2,11.2,0.48,
4123795,73,1,-1.86293489685805,2,2.4,0.190002022649909,0.0,65.4,0.804970246528939,1,0.43,32.05870772,2.4,18,0.0,110.6,2.04,0.4,0.136,4.6,0.12,8,5,0.48,1.87,1.61,4,5.0,8.32,0.48,
2453071,73,1,-1.89509326894747,2,3.36,0.191265628968897,0.0,67.8,0.711473930430316,3,0.43,33.19806772,3.2,12,0.0,107.4,2.04,0.344827586206897,0.1168,3.8,0.103448275862069,10,5,0.551724137931034,1.902,1.61,2,5.8,5.44,1.44,
1279568,73,3,-1.89111823607792,2,1.92,0.207130730050934,0.0,64.6,0.821419744826727,0,0.43,48.92070772,2.0,20,0.0,116.6,2.04,0.434782608695652,0.1152,5.0,0.130434782608696,7,5,0.434782608695652,1.898,1.61,5,4.6,9.28,0.0,
1056832,73,3,-1.77865731966268,2,0.96,0.203555222517664,0.0,61.8,0.547914574499593,2,0.43,30.09730772,1.2,27,0.0,119.0,2.04,0.526315789473684,0.2,5.8,0.157894736842105,5,7,0.315789473684211,1.79,1.61,5,3.8,12.64,0.96,
