id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,hull_distance
8397402,73,3,-1.99066757562781,1,1.44,
9380175,73,1,-2.03418843544091,1,2.88,
1735482,73,3,-2.00533214037694,1,2.4,
3092751,73,3,-2.06244342089425,2,8.16,
2198367,73,1,-1.88313034577772,2,2.88,
7126859,73,2,-1.79168013027434,1,1.44,
4123795,73,1,-1.86293489685805,2,2.4,
2453071,73,1,-1.89509326894747,2,3.36,
1279568,73,3,-1.89111823607792,2,1.92,
1056832,73,3,-1.77865731966268,2,0.96,
7548206,84,2,-2.16131120243911,1,3.84,
9706385,84,2,-2.13065158767774,1,3.52,
6703951,84,3,-2.19133192988063,2,7.36,
5693807,84,3,-2.11507058863213,1,3.36,
9245670,81,3,-2.14340752771899,1,7.52,
9605831,83,3,-2.1170074697076,1,1.28,
2541903,88,3,-2.18754758380055,1,1.44,
6895471,81,3,-2.22069059041416,2,9.44,
4692830,83,2,-2.16329042847001,1,2.56,
4976231,83,2,-2.13260273709127,1,2.08,
1059674,83,3,-2.19333864746626,2,7.84,
3254689,81,1,-2.19026765629007,1,7.04,
2096537,88,3,-2.23537272190732,1,2.4,
7819360,81,3,-2.15919727526842,1,7.2,
5183609,88,3,-2.20366249599242,1,2.08,
6971305,88,3,-2.26642216778946,2,7.68,
2465970,72,3,-2.01006873420435,1,2.4,
5749680,72,1,-2.05401375077419,1,3.36,
2487590,72,3,-2.02487622062942,1,3.04,
3891520,72,3,-2.08254411091091,2,6.88,
2836405,72,1,-1.90148344044105,2,3.36,
6491783,72,3,-1.88109116553606,2,3.04,
2931756,72,1,-1.91356295493539,2,3.68,
6982735,72,3,-1.90954918117108,2,2.72,
2018563,84,1,-2.00081302256555,2,3.84,
6175483,81,1,-2.02761918073793,2,7.04,
1923504,83,2,-2.00264527199485,2,2.56,
5197243,88,2,-2.0693747606696,2,2.4,
3582067,79,1,-1.96858611764006,2,3.68,
6039182,78,1,-1.94655162779233,2,2.72,
7803256,80,1,-1.95869322418115,2,3.68,
7521463,84,2,-1.90364779844506,1,3.36,
9257083,81,2,-1.92915217262401,1,7.52,
7905641,83,2,-1.90539106858223,1,1.28,
9321840,88,2,-1.96887998172623,1,1.44,
2760143,72,2,-1.80914194597449,1,2.4,
9618250,74,2,-1.83413381225793,1,2.72,
9138254,79,2,-1.8729859245367,1,3.04,
7243896,75,2,-1.82801309569024,1,2.72,
4165230,78,2,-1.85202149277051,1,1.28,
3041965,80,2,-1.86357345838373,1,3.04,
7063891,84,1,-1.97935549718201,2,3.52,
9328467,81,3,-2.00587417530857,2,7.2,
5196087,83,2,-1.98116809682986,2,2.08,
