,AtomicOrbitals|HOMO_character,AtomicOrbitals|HOMO_element,AtomicOrbitals|HOMO_energy,AtomicOrbitals|LUMO_character,AtomicOrbitals|LUMO_element,AtomicOrbitals|LUMO_energy,AtomicOrbitals|gap_AO,BandCenter|band center,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData mode MendeleevNumber,ElementProperty|MagpieData maximum AtomicWeight,ElementProperty|MagpieData range AtomicWeight,ElementProperty|MagpieData mean AtomicWeight,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData maximum CovalentRadius,ElementProperty|MagpieData range CovalentRadius,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev CovalentRadius,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum Electronegativity,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mode Electronegativity,ElementProperty|MagpieData minimum NsValence,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData mean NsValence,ElementProperty|MagpieData avg_dev NsValence,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData maximum NpValence,ElementProperty|MagpieData range NpValence,ElementProperty|MagpieData mean NpValence,ElementProperty|MagpieData avg_dev NpValence,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NdValence,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev NdValence,ElementProperty|MagpieData maximum NfValence,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean NfValence,ElementProperty|MagpieData avg_dev NfValence,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData range NValence,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NsUnfilled,ElementProperty|MagpieData range NsUnfilled,ElementProperty|MagpieData mean NsUnfilled,ElementProperty|MagpieData avg_dev NsUnfilled,ElementProperty|MagpieData mean NpUnfilled,ElementProperty|MagpieData avg_dev NpUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData range NdUnfilled,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData avg_dev NdUnfilled,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData maximum NUnfilled,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,ElementProperty|MagpieData mode NUnfilled,ValenceOrbital|avg s valence electrons,ValenceOrbital|avg p valence electrons,ValenceOrbital|avg d valence electrons,ValenceOrbital|avg f valence electrons,ValenceOrbital|frac s valence electrons,ValenceOrbital|frac p valence electrons,ValenceOrbital|frac d valence electrons,ValenceOrbital|frac f valence electrons,YangSolidSolution|Yang omega,YangSolidSolution|Yang delta
AtomicOrbitals|HOMO_character,1.0,0.716016647049101,0.44762727527232904,0.7297368497406322,0.7320658363200347,0.38273489793886106,0.12310424533209754,0.03144811448499251,0.8306714995673776,0.0,0.3334024313189779,0.1478756855846321,0.16265318117574765,0.8664607147746137,0.1641759389875061,0.09944814951692488,0.1220068920676345,0.12299706017550054,0.4122517102387224,0.40276261333956886,0.1231172523216959,0.15138575920203579,0.24939166226646156,0.0627123011520304,0.11379217483526975,0.02240376543525886,0.05203324846149649,0.3758489417864258,0.11370642898526116,0.028679375689904557,0.03412712196593757,0.0,0.0,0.0,0.0,0.0,0.04194888502512872,0.0770240339304855,0.08025354740810102,0.1793558057269551,0.21773381479114368,0.004906316717325797,0.07374670098070868,0.1816330558074968,0.17023701291954463,0.10579834135211437,0.11432198428283148,0.11211318805804474,0.09480615631315852,0.020632660621729155,0.06935210956248179,0.06156608094765636,0.01727217664218715,0.042620357702742175,0.009269035284078134,0.3669802478506287,0.36294933792885853,0.2799410334099705,0.3412643832588092,0.05760630353446709,0.28815458207937594,0.05082034098330062,0.17514454918466288,0.12102655085071806,0.32221076172906377,0.05615093470309017,0.0,0.21581846836364152,0.16611363241476226,0.07161446030561122,0.08089868785616984,0.10807935682439611,0.12586711127949066,0.01860413147414421,0.11833773917156235
AtomicOrbitals|HOMO_element,0.716016647049101,1.0,0.5126982726066278,0.30903759777169815,0.7988661521827521,0.45379477084726433,0.014652600283983911,0.049353715084687146,0.8227388838054862,0.0,0.11850220286078983,0.06159169500000519,0.04785940595489046,0.8357796980256911,0.25142318107186634,0.22841656744864175,0.1789279943567086,0.22118106166451185,0.44462178930460355,0.44008800118132213,0.10260249734290904,0.1611681588108006,0.26835117370112677,0.16940289649368817,0.16378303369132227,0.03252158604187728,0.07109955228233651,0.35832272068694465,0.05750153157224441,0.167905729765757,0.09256339774602905,0.10839786152493644,0.16500218666954775,5.27358518368949e-05,0.029557252461406523,0.004958986603454576,0.029859463732283646,0.11383394010999884,0.1167714418335397,0.20117235535871772,0.17348143264323382,0.2380763000466574,0.24892914489841725,0.4000646076089209,0.4748874363767687,0.3015111257517992,0.2770382913679392,0.16800056960859935,0.1582188342826614,0.07776975081460828,0.08428679139008134,0.10106876798816722,0.20964121710896874,0.0,0.015118505694935072,0.2593990687576262,0.283960341001826,0.2519445252185295,0.22104838061109983,0.00395642423393686,0.17850058651496215,0.05142284162288288,0.06820716347790383,0.04354986651053705,0.16274012046485437,0.14529513240956574,0.0,0.18687384103170307,0.3879733558846065,0.14263524337778763,0.07367019289268827,0.16306760495991646,0.3636706447514951,0.028885961815720975,0.06733930976809978
AtomicOrbitals|HOMO_energy,0.44762727527232904,0.5126982726066278,1.0,0.3896745503965793,1.1781554561098906,0.852000467581181,0.1385180436344828,0.158423975869391,1.2526170202138465,0.0,0.1540248443452874,0.14584511837417422,0.2215697412074418,1.257334661145535,0.3841424096785291,0.3752914064631092,0.15967671868011576,0.22606008270277492,0.8303797760976377,0.8308928014838282,0.24931319523776907,0.3331526801675303,0.5130323106955593,0.25272747658555994,0.2784058441501359,0.12409678096564186,0.19399452167072515,0.7701696357278548,0.21064905180821947,0.24430273490863746,0.2640951135318291,0.1993115872784953,0.19718995645561285,0.06334322014546524,0.06259319566058803,0.06191153504043124,0.060596646929781214,0.199613783696666,0.20703631303394338,0.5280543567676733,0.49317345513247857,0.13477145378135738,0.08500553458149697,0.1907133124828851,0.21787013892271112,0.33511632396083574,0.31988625619127126,0.1929384578391004,0.15630843189611626,0.234908310634521,0.20285381013359674,0.21854594750462314,0.22018901331984067,0.0,0.030045559032227387,0.7515746490680388,0.725638936846613,0.6686000902996001,0.6340633287631969,0.11115022177530326,0.5783615571700363,0.2809624513384522,0.33209963859116826,0.3016072773961314,0.4143231202442144,0.23391058014589647,0.03655252449075,0.5022898028039021,0.21165021155803201,0.1736371199397841,0.02080663202939978,0.23492579771022262,0.22026210306669675,0.08599105505415591,0.13199476600153695
AtomicOrbitals|LUMO_character,0.7297368497406322,0.30903759777169815,0.3896745503965793,1.0,0.8967729774139024,0.4561455018804406,0.1393886501585786,0.04947678659125673,0.8336404544267062,0.02989828545945458,0.3219547006416591,0.17197460715309865,0.1691417837115044,0.7521121633368704,0.12552808260827852,0.1447630692301908,0.12038968280608828,0.1258816505599189,0.4322724263654567,0.5079608588954103,0.12854932428815743,0.17198244467082735,0.2662674901146123,0.07003481573575805,0.13185904623648803,0.03244521574790331,0.08006427688834636,0.3989741982972602,0.01566806269865008,0.0864880871536449,0.06328748535473669,0.010074375604567842,0.15919945272891525,0.001853479748202779,0.0,0.03971511170822128,0.0,0.15004542561477643,0.1422798701661322,0.2915818162698941,0.2843446683605269,0.0,0.0019298831045082387,0.16510198355581213,0.19467435756971693,0.15206473657455286,0.1151925655008759,0.15669160701358611,0.0896330162627752,0.012273940485662042,0.0,0.09913612489357009,0.030240972901496382,0.040446727978435716,0.09291130278074983,0.43699280828536446,0.41815910886237845,0.3916411803070776,0.39169232302959567,0.06986788886563419,0.318689929355316,0.14401065458644258,0.21223860680136628,0.19758332592806455,0.3310347593568957,0.09063954115792006,0.06057365343450269,0.2549180140323809,0.10695415802713423,0.0884090488736808,0.1183646332195029,0.11647183068970095,0.18363478380671266,0.0390041490211759,0.14064848446702038
AtomicOrbitals|LUMO_element,0.7320658363200347,0.7988661521827521,1.1781554561098906,0.8967729774139024,1.0,0.5346887016357414,0.0701891711015593,0.03804321897024552,0.8151247880124236,0.0,0.12370000001291659,0.061377365684312714,0.07819351888143157,0.8132232201389633,0.2528179737312879,0.2753449907068041,0.2004137426975864,0.23862599685890074,0.4678091347512194,0.47583976535450173,0.10489484812041197,0.15481487790429893,0.322810911352402,0.09813073947622053,0.16984706285310927,0.02506785614632509,0.06061798334178592,0.36413840500570693,0.06323024921513294,0.0580006149855838,0.0,0.13466493148492942,0.10035453537754094,0.02813456375319569,0.028775440873880523,0.009642708442719456,0.04367356129742263,0.17566960496338868,0.08278189884837502,0.25554865840858537,0.2005813172040203,0.34304696710240207,0.33420013972275775,0.3857020473701214,0.4940878830288572,0.28482613006842816,0.2882871190384441,0.20822691434334867,0.1377547365314818,0.05631730619415554,0.0708208140716739,0.0927858995122298,0.10074347104199373,0.018428863277242722,0.04608132538086336,0.3300654751180671,0.30392721650445226,0.2369435654266966,0.2360433353927251,0.03834824307468655,0.17666737992614756,0.0,0.06920717215696438,0.020802924181417055,0.0820948521896115,0.07058144673478813,0.0,0.23917350839903181,0.41870219047452284,0.16347257837173731,0.11209600689335003,0.15979047206128058,0.32465131746738385,0.039035530805252266,0.12728046021982986
AtomicOrbitals|LUMO_energy,0.38273489793886106,0.45379477084726433,0.852000467581181,0.4561455018804406,0.5346887016357414,1.0,0.11895621225644525,0.14920029909091992,1.2671507518543912,0.0,0.13779604350486854,0.13275710013593656,0.21757128578691354,1.2427321280982837,0.35967791555484413,0.37003139184367734,0.16404300961818405,0.24670078527323194,0.8463065237090975,0.8474628629618745,0.2282774115776729,0.31296383712605264,0.5497973325287783,0.2397106782995497,0.28581279809698207,0.13043185232018734,0.17656430914594434,0.7529620605527455,0.2079694332061794,0.21947212744841646,0.21403760696467206,0.21501087171734495,0.2113103516441771,0.041243401368659324,0.07223327971190775,0.04684281939294349,0.06774767449278156,0.21463810700785416,0.2194397043548762,0.5354506523825879,0.49125030336227565,0.11473883141399482,0.1285308740086982,0.19439137221379496,0.22668949944121305,0.30901591751185936,0.30567384819738885,0.1562905530053968,0.13773356437849196,0.21276666603006905,0.17637235413563604,0.18882264513035418,0.20005336157601394,0.05767074411433199,0.025139354778007612,0.7408300056223661,0.7675706941374656,0.6399821691415816,0.6655212708847402,0.11434023258768876,0.5801822478474616,0.2601804176813857,0.34571424774198484,0.3022061263976434,0.39347574628212645,0.2772460717520546,0.06221906037461785,0.5190036061249997,0.1727537976349322,0.1575779542631643,0.03111600938192959,0.22365405132074698,0.23997676161264325,0.08684836172771981,0.13990573465118306
AtomicOrbitals|gap_AO,0.12310424533209754,0.014652600283983911,0.1385180436344828,0.1393886501585786,0.0701891711015593,0.11895621225644525,1.0,0.026509771485796203,0.3011278323634502,0.07879795941999329,0.25284253263904477,0.08738788438828482,0.0919513439071687,0.22865770458569015,0.02124161725407458,0.0,0.0,0.0,0.10231268475187213,0.08168236497994934,0.011481856771247379,0.023474028082865757,0.04594791475734309,0.055167041734105214,0.00987096707135078,0.02483758310878011,0.027003684403268755,0.0904575486228957,0.0011573658144390375,0.05329175635340803,0.02785956785353173,0.17872932538686268,0.07843784204598465,0.11283087273552148,0.004697713196644837,0.09888551856664138,0.09901162324644035,0.09005122515664989,0.03574947123149728,0.06560769402370614,0.10146371959092873,0.0,0.013576419374125657,0.00434528622891548,0.0,0.0,0.0,0.04167428991078527,0.01746620365581091,0.10202365866721963,0.0,0.09518046987992351,0.026001529989613092,0.06308474438527212,0.08583459212254686,0.1414498255390703,0.19929117071626862,0.12805805696964415,0.11333328187699394,0.09625633011318753,0.14969989761780944,0.23090136585787072,0.16511865977778015,0.15298202484082685,0.23497189943436106,0.049897259404062234,0.042176786462673525,0.07320391584656788,0.09639147555798043,0.030988452988652083,0.034592122706369965,0.019678198106394595,0.024384763199222368,0.007295068278660753,0.001593815759965927
BandCenter|band center,0.03144811448499251,0.049353715084687146,0.158423975869391,0.04947678659125673,0.03804321897024552,0.14920029909091992,0.026509771485796203,1.0,0.21276535465911806,0.04925472822877402,0.20437847476078772,0.19322441205983695,0.15843326254870244,0.20746732347692529,0.03995324125885453,0.03974969813670288,0.03991521411849783,0.036310868172620775,0.1914732849636294,0.19211952834550508,0.09746951575014053,0.09217212840136865,0.26536913440866355,0.14095576129405665,0.23279699840390497,0.7122744961256585,0.3234489642679459,0.2941691415609025,0.04084528284928099,0.04138052750806985,0.04124394269388882,0.04087127076609744,0.04087384485197918,0.05792307766788166,0.05815118851272701,0.06351927720924706,0.05767425708170593,0.0,0.0,0.06556109581869853,0.08520969249969386,0.0,0.0,0.01313871139576296,0.023511790896855785,0.10979343615877886,0.1096235897775343,0.07189204237254537,0.0589549497628525,0.04098435634271875,0.03984451586830455,0.04043234309621717,0.04094657729995785,0.06417981583328403,0.034458097805304275,0.17465750599288987,0.1728921921727217,0.15798517529543304,0.15874285035114633,0.057978853798361554,0.18627249679748267,0.12185243394056745,0.19667717965920664,0.16379248106685174,0.07000127149339763,0.041158452591567675,0.06397200216026669,0.06285764420657637,0.010919294605438015,0.044672579921622185,0.03899270450310391,0.025942985743297547,0.022760130501655547,0.0,0.1225061014285124
ElementProperty|MagpieData minimum MendeleevNumber,0.8306714995673776,0.8227388838054862,1.2526170202138465,0.8336404544267062,0.8151247880124236,1.2671507518543912,0.3011278323634502,0.21276535465911806,1.0,0.0,0.5797585826945951,0.2886584285375945,0.315743963519635,0.995599994281283,0.18525517646062736,0.1843675183515358,0.23442589597246233,0.1869879873776892,0.6417828450188267,0.6078424851968842,0.19894328054343124,0.2248640590142533,0.33702617329713225,0.13225396657363236,0.16390878846722173,0.10396220317698844,0.14637008164638257,0.3942801277191767,0.004665253521206318,0.021790040343281875,0.1338916648260299,0.06648046126090681,0.0,0.0,0.017078644896000524,0.0,0.05863280139383275,0.25075470763114327,0.30713413869135175,0.43644412332880383,0.5085819254519168,0.040336604051069265,0.1272001556461862,0.03585715619043972,0.1359785617169835,0.2469410577539152,0.20089205060483054,0.20639239431694661,0.11002617442098045,0.0,0.14626376745015873,0.12050142896222509,0.04028772734020068,0.0,0.0,0.7702649270840878,0.7185878967002636,0.6104367820396005,0.5947566248137229,0.09403582346726164,0.6326349662727733,0.1630642062881512,0.367378739989617,0.22687891857283982,0.6304101425133646,0.01933526046992423,0.0,0.40625237381250323,0.11533309056244893,0.12651372056816035,0.14349141108448973,0.20430947413066905,0.1802518810644559,0.08878686906742128,0.17300584412292636
ElementProperty|MagpieData maximum MendeleevNumber,0.0,0.0,0.0,0.02989828545945458,0.0,0.0,0.07879795941999329,0.04925472822877402,0.0,1.0,0.23458838166607807,0.042122468953688194,0.02305474783899488,0.0,0.27185674671249294,0.23959267676088328,0.0,0.0,0.0,0.0,0.0,0.0,0.16391378098970175,0.36054369716054074,0.15921250854713465,0.07689120644044399,0.05885593427335084,0.0,0.0,0.0,0.0,0.0,0.013526308724627952,0.8873347789203988,0.9140616621980581,0.9821029276541384,0.8796068073261674,0.07080544305472379,0.132476951434046,0.03450193106878299,0.0,0.0,0.05084909680422235,0.046254072557335005,0.01782486421250231,0.60123076572283,0.6385196507716415,0.09977716305249476,0.08716196998864247,0.0,0.0,0.015885275818822476,0.0,0.9828807507749203,0.8603475682802713,0.0,0.0,0.0,0.0,0.7623635989258936,0.0,0.26690528320857976,0.34797402237593994,0.39240604471180385,0.0,0.009521775304162493,0.9771493733732327,0.0,0.062192876307367945,0.08450186912980819,0.20247267860175125,0.11000390972584122,0.030263344925456168,0.1484791104981846,0.026741816642657956
