,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData range MendeleevNumber,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mean NUnfilled,ValenceOrbital|frac p valence electrons,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev MendeleevNumber
AtomicOrbitals|HOMO_element,0.8982162726741714,0.050415474289743065,0.8930722729184332,0.7417607061975218,0.7572875764806598,0.8853307632627633,0.8980781185069571,0.8883086228051839,0.8971708437487568,0.89240613773006,0.7445986246077237,0.7080386534435817,0.6878818840091337,0.8327853424489523,0.2782101987624121,0.85453221053163,0.7313545506076744,0.7902769606204896,0.8831013758588628,0.8848364700732367,0.8814434922834363,0.39499146425840514,0.7091060104477973,0.7462545741942637,0.89672804033028,0.47275496267886136,0.8982134920876046,0.7346974849599854,0.8935207340807948
AtomicOrbitals|HOMO_energy,0.3087693345244406,0.060056977118269156,0.2601658287797379,0.2272145072252514,0.26178577997455804,0.2785767784123121,0.2744235328407574,0.2694416795465624,0.2997226904050462,0.1519456089014602,0.15405043661602916,0.2591957919604506,0.04514218002811821,0.2635081200619759,0.20594066248065881,0.17924824087810642,0.17618765268855607,0.24788964474954756,0.23010568882838842,0.11437288515542623,0.3086341896872568,0.11243727899691523,0.03120658330309238,0.19235964562284205,0.2832329256563601,0.0427629461201016,0.2899505120588206,0.23105650656567833,0.20472604357913965
AtomicOrbitals|LUMO_character,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AtomicOrbitals|LUMO_element,1.2649558886710905,0.06669625751903838,1.2616130929431877,1.2071903265445598,1.1262974641994519,1.1528548223126045,1.2444594204539419,1.2511457402330235,1.2613469538479916,1.2649558886710905,1.0284665938632502,0.9188157419500763,0.7720686557356903,1.1612523486706392,0.4886901201450367,1.1994608659464447,1.21076567290802,1.0496297113789073,1.251643937970125,1.2452899607924712,1.186009135985903,0.6096098473726976,1.0050495814414748,1.061502204021979,1.2639909767162705,0.49378591095620383,1.2615327175556765,0.8894027666986272,1.2368415925565928
AtomicOrbitals|LUMO_energy,0.5190756542049639,0.14436840058794165,0.44894693546011394,0.3601736360903994,0.4622002857383711,0.4597927737292836,0.4808614985737693,0.46752641162570857,0.50342419883492,0.2851031924471906,0.24881715817780276,0.42995187034299764,0.06977779879964162,0.46213173141887987,0.3155828810817999,0.33370422753981044,0.31599218934469026,0.4384614717137037,0.4125703470482604,0.1780031429765312,0.5183216602082239,0.2189297423448986,0.05202120478802156,0.34091337957900575,0.46992275747078216,0.06002924113842553,0.4848364391297555,0.44011391331423094,0.3504108035933071
ElementProperty|MagpieData minimum MendeleevNumber,1.6806061868664461,0.06180553726231478,1.1587940692183014,1.6806061868664461,1.5810549523999045,1.3521240669243533,0.7406197759236719,0.7932050235928995,1.6265929786494633,1.3962931702073116,1.3926341512563023,1.049504252307488,0.40982032610374863,0.16875909444592097,1.3185670866748538,1.2280301321561105,1.5154008111176038,1.5340986022960583,1.4645387988100778,0.5097336782171508,1.4754525869327568,0.9872779996611267,0.13313719418660042,1.201296296000488,1.5957625041791899,0.605405112937005,1.6168805527003582,1.1908619824084479,0.6826314074304408
ElementProperty|MagpieData mode MendeleevNumber,1.4561339724624913,0.04742465124649462,1.0271284956475288,1.4289202515937487,1.321537797737595,1.198114397880696,0.9344606177631058,0.47657503004592006,1.4026246912648888,1.0764281713432076,1.1870549539430106,0.9101071691684335,0.3545359819143366,0.13716201593179453,1.1853740400302044,1.067337893945457,1.3743806095954911,1.3153332678253293,1.2703798512680675,0.4729096142903059,1.2907028589072056,1.1484457285179952,0.13009270883192375,1.0930184065217483,1.3968047182765255,0.5928758411001913,1.3565352156715056,1.2272036173512464,0.2538656912003805
ElementProperty|MagpieData maximum AtomicWeight,0.4724244741407514,0.7570632699834565,0.9115775248875276,0.7155205779061453,0.4040244390866746,0.5935130462381697,0.9139472485124897,0.9139467100300807,0.819873604937043,0.9133371118583262,0.7664516898787554,0.15514138730521837,0.23431043596994772,0.8976280662174853,0.3522854141614738,0.650817290714014,0.31726146462888394,0.6402396710247596,0.9124423459814494,0.9142953295544862,0.8568831669528897,0.02414002907643071,0.32992179623950957,0.5788587617382288,0.907465389194299,0.3194711453500598,0.7045434595137934,0.4761855195227447,0.912495806955378
ElementProperty|MagpieData range AtomicWeight,0.533549885742968,0.8369705020797823,0.873313544369209,0.6962196056333976,0.39356185828942497,0.5844352500674316,0.8759511130095969,0.8755660903283425,0.7865058991179542,0.8702538898462852,0.7262470518351216,0.15126695816770205,0.24238958828779616,0.8431474386446174,0.3432096241875738,0.6266300704518288,0.36009394253569355,0.6088563801718007,0.8737785094226475,0.8759446252720134,0.8254681105296968,0.023554847076290724,0.3734801727650667,0.5487959630571473,0.8702049759135898,0.3327054979452438,0.5983428029345188,0.4813665600676905,0.8739327998562315
ElementProperty|MagpieData avg_dev AtomicWeight,1.5664645331084854,1.440032826977163,1.5628610554943783,1.504952776341934,0.6674748214335348,1.072811186740503,1.5664645331084854,1.5664645331084854,1.5664334216614515,1.5664412206015796,1.5288654636017458,0.08466328568114062,0.6820256396248544,1.5542760153079154,0.5058076525062385,1.0706209879125435,1.364870458385591,0.8711275256450429,1.5638439074049184,1.5664645331084854,1.5113553176674401,0.2596874613450139,1.0369433449521681,0.8794397998126529,1.5631525026357986,0.9461574720911134,1.5664645331084854,0.6000406670280521,1.5664413831237938
ElementProperty|MagpieData maximum CovalentRadius,0.13508225833393606,0.03186313300395124,0.10165927376640198,0.13164067531008675,0.12604851289005667,0.061140339098956414,0.12856517623190813,0.09038840509654868,0.1273815003225977,0.11848436830534484,0.08947427557633975,0.03384412408111605,0.05672305243562218,0.05123168342960063,0.09699589576170403,0.03736998571259536,0.12839915745045635,0.13028064919934854,0.10557169323673528,0.07282956875469526,0.13493027535034807,0.06450600555149814,0.01021608656854722,0.11568046795907772,0.1176435122387643,0.029394164291328927,0.1349586745418173,0.11549749651813293,0.05317956662381746
ElementProperty|MagpieData range CovalentRadius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElementProperty|MagpieData avg_dev CovalentRadius,0.8307929852344913,0.7142719136581231,0.8010515815170601,0.8155263575595827,0.7881851377326757,0.40291973371852086,0.8302719655247378,0.7630444689288556,0.830444608130573,0.7802426205920064,0.6824845300244329,0.4242698376390337,0.26538171444574293,0.6893833982106192,0.7681175341153333,0.041902943636582354,0.7867597860692842,0.7936655938797553,0.7393213242009636,0.6747148552758572,0.8307929852344913,0.7082951198482527,0.29654506239723655,0.7661390342699688,0.8109840316623023,0.40332676704017245,0.8281223849771541,0.6924318422031676,0.7259452160318345
ElementProperty|MagpieData mode Electronegativity,0.7585674183930119,0.21932421955785614,0.3473798647509059,0.3508108065736289,0.7032204565578896,0.47768196865017054,0.7328407791129997,0.5945038470403081,0.7126075943039771,0.4414766630536016,0.16111642327583578,0.44428607094482647,0.07429611898303706,0.4280823201035308,0.4971533568008431,0.28480676624679735,0.6902355150029116,0.6831797703609865,0.35021827728324395,0.2819102576979965,0.7585674183930119,0.35997555251818125,0.044494367286283636,0.5780623842773406,0.3986589498010916,0.03651449972885941,0.7464734292047329,0.6083084056573108,0.42599402499829564
ElementProperty|MagpieData minimum NsValence,0.581038073062915,0.5433010650574416,0.5791411746568063,0.008247858650207848,0.5780039588914477,0.5794896284122001,0.5810380270982991,0.5809941388350359,0.5803169695133736,0.5802969493363503,0.5419410659049292,0.5715658006841523,0.5683039045138143,0.581038073062915,0.5776250523217357,0.5758518868789614,0.36023933767060834,0.5717192604480607,0.5753211405911134,0.581038073062915,0.5809706295310432,0.5497308785497366,0.5031343279888448,0.5638624185484912,0.577538648757178,0.5177890576105872,0.581038073062915,0.5792501982197144,0.5809485375805766
ElementProperty|MagpieData range NsValence,0.5675464858256554,0.5668998993242381,0.5656205038009684,0.009211366813666067,0.5645084178711777,0.5664466276404992,0.5634657088790711,0.5675433189565394,0.56692177876366,0.5463693979730854,0.5425936038299061,0.5579339452916299,0.5476831645839727,0.5618357299942132,0.5470124997425669,0.5636687121741266,0.4390387916353392,0.5564763870248502,0.5643515738033733,0.5675210370520022,0.5673633418893909,0.5386400803661809,0.5060285418574731,0.5538660557659089,0.5645521921322267,0.4799501527366706,0.5675464858256554,0.5631300545094973,0.5670722754429733
ElementProperty|MagpieData mean NsValence,0.5663429037991713,0.5652597486331572,0.5644398052790942,0.011549512588589897,0.5653647680174869,0.5639677025075751,0.5657511090718548,0.5663296702390314,0.5648891404254882,0.5259456817496476,0.5444095480875204,0.5568433116570105,0.5500487076063654,0.5373599062099061,0.5334429886835703,0.5614432908838954,0.48256814277161986,0.5332476512430789,0.5631786651527169,0.5654441529219923,0.5652910147052591,0.5640286997611362,0.5070541248565353,0.5519944957020052,0.5621279214886942,0.4330747902724568,0.5663429037991713,0.566094682384327,0.5663108042386151
ElementProperty|MagpieData avg_dev NsValence,0.5648849020981371,0.5648849020981371,0.5630372473653468,0.012830549730024727,0.5625102289723207,0.5631603109624774,0.4455950586100328,0.5648848555481603,0.5641716580671584,0.5358116702604123,0.5526724863090536,0.5556587593201037,0.5365695087345327,0.5516648941079323,0.5498226237439463,0.5610249332572166,0.4578155515039927,0.5487170730756474,0.5611446781906296,0.5647097594853804,0.564839923442176,0.563880001658396,0.5112950447848376,0.5501249308745172,0.5612101127459111,0.45514385019479087,0.5645784531655902,0.5624120595684644,0.5646698009145448
ElementProperty|MagpieData maximum NpValence,0.08351004166217782,2.746676549700492,2.7214047644706323,2.746676549700492,2.7070850570949725,2.7400386727001522,2.572094741007486,2.7435306534443247,2.497569014833887,2.47532455565465,2.377674252357205,2.746676549700492,2.7466534599915486,1.5939956866778164,2.746676549700492,2.746308949789441,0.47301439256643174,2.743065366069141,2.724220689991468,2.1180198719706818,2.3036114330960213,0.3765084382122454,2.746676549700492,2.710802606690553,2.693554496892789,2.6524124803271896,0.24455632745232297,2.7466748828951615,2.7463534441638906
ElementProperty|MagpieData range NpValence,0.0754048203992752,2.7026851383690342,2.677527551502385,2.634362483236662,2.659083840287473,2.697063782792219,2.7026711730995903,2.7002625033618117,2.4306729186372444,2.516501057089488,2.2368763803384426,2.7026851383690342,2.7026851383690342,1.8109120424664316,2.7026851383690342,2.7020764887415383,0.5159551239617589,2.694950183831102,2.684091710238588,2.0611229389009442,2.228508065931099,0.33614839564429805,2.7026851383690342,2.6622531751642753,2.655377624169518,2.4974290806650044,0.26197834184749363,2.7024712896912044,2.7010352066222305
ElementProperty|MagpieData mean NpValence,0.06483582253679261,2.8634534808084,2.828863970800264,2.8634534808084,2.774302288335162,2.860158038537529,2.738072199618315,2.8558866239933973,2.567806784888092,1.454437626301596,2.335013820007284,2.8634534808084,2.863358571612857,2.306020062859481,2.8630485619697987,2.8634534808084,0.8864185785525637,2.7909455322081174,2.8365990485596617,1.3219198256352107,2.0594812239039126,0.27991601494344565,2.8634534808084,2.6032011561320836,2.8052984642984033,2.3640024723134587,0.13726193132769646,2.7111226226865215,2.8631025226278215
ElementProperty|MagpieData avg_dev NpValence,0.08446667890924324,2.699185211967977,2.684150131099751,2.667849419107125,2.692199081304736,2.7011234145309064,2.5897182815463586,2.705950045154592,2.4514712741708515,2.428128066923664,2.3881594776671564,2.708757892054234,2.70702620340227,2.4573158894571576,2.708738999562801,2.708201545625008,0.5625760226242411,2.705081317278653,2.6931215553716523,2.1465468771868617,2.173191671330776,0.3851769939485744,2.708757892054234,2.6637309957719917,2.663862646191749,2.5433150299796994,0.18773121964577993,2.70873712921145,2.7085374392693624
ElementProperty|MagpieData maximum NdValence,1.125509080413687,1.1201927499816042,1.1445362056258286,1.1223753245868668,0.4963041100747915,1.0246625407418224,1.1062200266862114,1.114140955554261,1.0196651593577746,1.0954916476728045,1.1350397103033993,0.5091044079508369,0.22316381943640054,1.0818002605842798,1.1128390721472046,1.0336790269248795,1.0145975046591917,0.8734180000863674,1.1419530813533685,1.0930098635417662,1.0416420156065147,0.07474143857948602,0.546799943985116,0.7891924991407371,1.1445362056258286,0.8560064238326514,1.1222493387200192,0.6892328208849907,1.072282111653495
ElementProperty|MagpieData range NdValence,1.057501687062113,1.1452369119998114,1.1733688326598666,0.9800213904727574,0.5892732836813745,1.0542479420273285,1.170791955458712,1.1409022410126044,1.051283768250133,1.1224073766489295,1.1663431581439014,0.5214972144729022,0.2478863500606339,0.8870012529086225,1.0034650636633589,1.0482335742698363,1.0744440759644776,0.8724071084120121,1.172779471551264,1.0714533964785256,1.0866651572725865,0.08555548809920331,0.6720551199481392,0.8568618656490892,1.1733688326598666,0.8019909415008126,1.1119296079125036,0.813658418174406,1.1192294436029608
ElementProperty|MagpieData mean NdValence,2.002760115754102,1.579453920335301,1.9801167923910599,1.9711401495937768,0.6981694226349787,1.7632931867337802,1.9800610841721664,1.3160483995659573,1.581527353778957,1.4195903724550152,1.43122865516535,0.9157334519070232,0.04259736462424564,1.2893451163403433,1.50854273464728,0.8031009025233268,1.7180546842270565,0.7218413984353639,1.8479685905276986,0.7996281450477112,1.3055122363774265,0.42207624222054113,0.17857318119361945,0.37960158530352595,1.987060905533248,0.515938879360657,1.98002727311078,0.3811966163959947,0.9965932377719618
ElementProperty|MagpieData avg_dev NdValence,0.8391964149512805,0.5661035114810687,0.8152504350387245,0.8325391006561742,0.35959164295831586,0.7230714200306358,0.7996563084527405,0.5410764693467534,0.7091108921193464,0.6280164179818691,0.6406206670309071,0.30010281120408155,0.024984590020516156,0.3336540000149479,0.5914444599073909,0.3103275184449561,0.6726836141671787,0.32583324388431373,0.7666253007325736,0.3126351534163511,0.6513151013654013,0.1441687040325286,0.09561213562022475,0.20515791585328066,0.8286350648640118,0.2262837180229764,0.8230698801968135,0.190604761876788,0.33117061027469147
ElementProperty|MagpieData maximum NfValence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElementProperty|MagpieData range NfValence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElementProperty|MagpieData mean NfValence,1.2136019191986172,0.9519617443342318,1.2192268634219525,1.1588876330708526,0.4435336347310638,1.1390028861966148,1.2193573406390905,1.219362333519423,1.211607875276244,1.219362333519423,1.1776531894551998,0.6283993788887599,1.1790853292995598,1.202453822424014,0.07456379409939193,1.1825756188977314,0.8157178013503004,0.7090070776883414,1.2193317876937093,1.219362333519423,1.0315696085600208,0.07102733782555423,1.0857900549128976,0.8163713753335559,1.2193551516872971,1.086742192199735,1.2179123495376134,0.4708237199738187,1.2188522406239402
ElementProperty|MagpieData avg_dev NfValence,0.22272778433004606,0.18090561758418336,0.22264887364008223,0.22278926385475048,0.08951161050486851,0.2117334803065956,0.22278926385475048,0.22278926385475048,0.21921346404295808,0.22252431784593105,0.21321208977433256,0.12958707315386264,0.2132003655257199,0.22278926385475048,0.009803709301897452,0.2175099640147792,0.14874841368887304,0.1502264983401829,0.2226358550940904,0.22278926385475048,0.19248805376411396,0.014814418102284944,0.2127923419560733,0.1631820332809636,0.2227516072315606,0.17968898053585983,0.22261921448174152,0.10245633460022796,0.2226556588154907
ElementProperty|MagpieData range NValence,0.35651976715929556,4.3120703499676,4.345787596381963,4.493445969585648,1.050416235399784,4.07172856858184,4.616444380830028,4.453615710523935,4.405679278305929,4.588717001445594,3.705065569981503,1.1420190216540935,2.4470479764987716,4.062564268961668,0.4975904829858696,4.531571650757348,0.6745820598548318,2.378745944068777,4.541688591645496,4.616297712179793,2.9472744306441334,0.0778802853468967,4.6126120535249475,2.2025011698340498,4.349484753487969,1.785470517244193,4.580808744342723,1.407013668806569,4.350703965543921
ElementProperty|MagpieData maximum NsUnfilled,0.558023534009715,0.5577853327487313,0.5561832646082567,0.007817839832370123,0.5561842681558014,0.5566572875715354,0.5313169483372205,0.5580205091871654,0.5572175026911567,0.5580180903634581,0.5487635014406875,0.5488352627317064,0.5365935950033467,0.5237728024830067,0.5575301522019122,0.5523335926414216,0.44291273338551373,0.5441936060109872,0.5544422893681741,0.5526422874276485,0.557968986915913,0.5569507288503777,0.5390193987481593,0.5408292350636598,0.5550105058385804,0.42286351957797846,0.558023534009715,0.5556424371376999,0.5576001923118071
ElementProperty|MagpieData range NsUnfilled,0.5630085073537171,0.5542016245360012,0.5613011818618708,0.015846604652396058,0.5617820604521371,0.561549734104414,0.5630085073537171,0.5630061587558635,0.5623705938206865,0.5618114518340502,0.5456133572692176,0.5544749403126937,0.5355271707767978,0.5630085073537171,0.5569389593641587,0.5582568625694511,0.47175870791984587,0.5489422987218052,0.5594517036179916,0.5572608297760976,0.5629707431509401,0.5598860877805646,0.4911009443662798,0.546561589081123,0.5598280581073708,0.4711598738012524,0.5630085073537171,0.5621011185524368,0.5629085649896397
ElementProperty|MagpieData mean NsUnfilled,0.5693388981865725,0.563176806842413,0.5676466111147205,0.019416047580157213,0.5675229664996416,0.5681212783427807,0.5470953496116552,0.569449786896032,0.5688909935842175,0.5692364093470735,0.5577786602652364,0.5604397824031656,0.54965618857597,0.5673170168377543,0.539629570885886,0.5643556517831659,0.5226175740167591,0.5502853530635771,0.5659420160520514,0.5670132037971709,0.5694139148186612,0.5694503461624699,0.4794167246452485,0.553353721441022,0.5656730041208738,0.4671786536252864,0.5680017133502162,0.5674559000166004,0.5694043606424486
ElementProperty|MagpieData avg_dev NsUnfilled,0.5727554456441605,0.5726115630345995,0.5708717651863965,0.013513916581307017,0.5712689141442726,0.5710475805790446,0.5722682291867596,0.5727547669522831,0.5722066512727779,0.57088821519281,0.540130996891651,0.5633500872700674,0.5676542457670141,0.5614901801059002,0.5106272394580006,0.5672858212386517,0.45304186880827935,0.5595191100273956,0.5695126036995717,0.5693184485787184,0.5725067572644494,0.5727554456441605,0.5348180414489179,0.5510553782382422,0.5687904897469678,0.48187291034463015,0.5725706520300422,0.570216343016815,0.5726556879121122
ElementProperty|MagpieData mean NpUnfilled,0.06253093713911599,2.7577861919406024,2.7335692486616705,2.768041193157033,2.5778986225759093,2.7641310269869845,2.7352739722101527,2.7578570229019643,2.5166350326694658,1.0501265236313666,2.367444549826807,2.768041193157033,2.768041193157033,2.1158473166906298,2.767982236512246,2.768041193157033,0.6627771632805577,2.7297437123419726,2.7398699547220535,1.0241273324478815,2.0192831275087504,1.381963243129423,2.768041193157033,2.5369807183289432,2.7105376379651975,2.3245191296012337,0.13265169815261715,2.5783781308271605,2.767807970549339
ElementProperty|MagpieData avg_dev NpUnfilled,0.0750404874523623,2.2573786217828467,2.2530238300729897,2.2574672049929023,2.240633325451721,2.2250470215615334,2.1916735174291238,2.248997636372845,2.209055445974727,2.086263627683945,1.9874693527657157,2.2574672049929023,2.2574672049929023,2.0518073759347932,2.2574672049929023,2.2531516642842355,0.8303216370275731,2.24829566679224,2.2540362504636815,1.9683533654580072,1.8129799638339053,1.4656432041616863,2.2574672049929023,2.215158000276681,2.2460854313045027,2.05472162011577,0.23554614578005498,2.2574672049929023,2.2556306195946503
